"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
21 Mar 2021 00:00:00.000,4628.428390,914.558098,-5210.681786,2.653196,5.739057,4.373792
21 Mar 2021 00:01:00.000,4777.926783,1256.867385,-4937.508445,2.326710,5.663666,4.726874
21 Mar 2021 00:02:00.000,4907.340990,1593.889135,-4643.540528,1.984042,5.562779,5.066667
21 Mar 2021 00:03:00.000,5015.732980,1924.079099,-4329.642836,1.626321,5.435929,5.390913
21 Mar 2021 00:04:00.000,5102.238318,2245.869672,-3996.816947,1.254875,5.282811,5.697310
21 Mar 2021 00:05:00.000,5166.078038,2557.680243,-3646.203279,0.871230,5.103305,5.983536
21 Mar 2021 00:06:00.000,5206.570706,2857.928872,-3279.081530,0.477114,4.897498,6.247277
21 Mar 2021 00:07:00.000,5223.144424,3145.045242,-2896.869240,0.074451,4.665701,6.486259
21 Mar 2021 00:08:00.000,5215.348498,3417.484746,-2501.118274,-0.334644,4.408469,6.698289
21 Mar 2021 00:09:00.000,5182.864451,3673.743525,-2093.509019,-0.747882,4.126614,6.881289
21 Mar 2021 00:10:00.000,5125.516048,3912.374231,-1675.842185,-1.162819,3.821214,7.033341
21 Mar 2021 00:11:00.000,5043.277971,4132.002192,-1250.028124,-1.576880,3.493616,7.152725
21 Mar 2021 00:12:00.000,4936.282814,4331.341632,-818.073711,-1.987390,3.145436,7.237958
21 Mar 2021 00:13:00.000,4804.826079,4509.211565,-382.066859,-2.391611,2.778547,7.287834
21 Mar 2021 00:14:00.000,4649.368870,4664.550917,55.841091,-2.786780,2.395062,7.301456
21 Mar 2021 00:15:00.000,4470.538095,4796.432470,493.454841,-3.170153,1.997317,7.278262
21 Mar 2021 00:16:00.000,4269.124014,4904.075197,928.556055,-3.539049,1.587834,7.218048
21 Mar 2021 00:17:00.000,4046.075091,4986.854614,1358.925269,-3.890893,1.169287,7.120977
21 Mar 2021 00:18:00.000,3802.490188,5044.310820,1782.364279,-4.223261,0.744468,6.987584
21 Mar 2021 00:19:00.000,3539.608249,5076.153992,2196.718437,-4.533918,0.316234,6.818773
21 Mar 2021 00:20:00.000,3258.795717,5082.267152,2599.898308,-4.820854,-0.112532,6.615796
21 Mar 2021 00:21:00.000,2961.531995,5062.706175,2989.900144,-5.082314,-0.538967,6.380235
21 Mar 2021 00:22:00.000,2649.393348,5017.697055,3364.824697,-5.316819,-0.960275,6.113970
21 Mar 2021 00:23:00.000,2324.035685,4947.630595,3722.893944,-5.523184,-1.373769,5.819140
21 Mar 2021 00:24:00.000,1987.176656,4853.054709,4062.465411,-5.700523,-1.776904,5.498103
21 Mar 2021 00:25:00.000,1640.577547,4734.664676,4382.043860,-5.848251,-2.167311,5.153393
21 Mar 2021 00:26:00.000,1286.025390,4593.291649,4680.290234,-5.966077,-2.542827,4.787669
21 Mar 2021 00:27:00.000,925.315682,4429.889831,4956.027819,-6.053994,-2.901507,4.403673
21 Mar 2021 00:28:00.000,560.236068,4245.522683,5208.245720,-6.112254,-3.241644,4.004186
21 Mar 2021 00:29:00.000,192.551244,4041.348571,5436.099782,-6.141353,-3.561771,3.591984
21 Mar 2021 00:30:00.000,-176.010694,3818.606186,5638.911186,-6.142005,-3.860666,3.169804
21 Mar 2021 00:31:00.000,-543.770323,3578.600090,5816.162980,-6.115108,-4.137347,2.740310
21 Mar 2021 00:32:00.000,-909.107304,3322.686642,5967.494825,-6.061726,-4.391059,2.306065
21 Mar 2021 00:33:00.000,-1270.469122,3052.260570,6092.696281,-5.983053,-4.621270,1.869511
21 Mar 2021 00:34:00.000,-1626.378173,2768.742344,6191.698918,-5.880390,-4.827649,1.432948
21 Mar 2021 00:35:00.000,-1975.437279,2473.566506,6264.567556,-5.755116,-5.010053,0.998524
21 Mar 2021 00:36:00.000,-2316.333730,2168.171043,6311.490913,-5.608668,-5.168508,0.568229
21 Mar 2021 00:37:00.000,-2647.841973,1853.987850,6332.771886,-5.442517,-5.303190,0.143885
21 Mar 2021 00:38:00.000,-2968.825097,1532.434301,6328.817706,-5.258149,-5.414407,-0.272850
21 Mar 2021 00:39:00.000,-3278.235250,1204.905914,6300.130142,-5.057050,-5.502580,-0.680481
21 Mar 2021 00:40:00.000,-3575.113141,872.770075,6247.295907,-4.840688,-5.568226,-1.077669
21 Mar 2021 00:41:00.000,-3858.586768,537.360756,6170.977390,-4.610505,-5.611942,-1.463230
21 Mar 2021 00:42:00.000,-4127.869506,199.974177,6071.903811,-4.367906,-5.634390,-1.836122
21 Mar 2021 00:43:00.000,-4382.257690,-138.134683,5950.862882,-4.114253,-5.636284,-2.195438
21 Mar 2021 00:44:00.000,-4621.127800,-475.754798,5808.692990,-3.850855,-5.618374,-2.540398
21 Mar 2021 00:45:00.000,-4843.933353,-811.721113,5646.275968,-3.578969,-5.581441,-2.870336
21 Mar 2021 00:46:00.000,-5050.201603,-1144.915949,5464.530442,-3.299795,-5.526282,-3.184692
21 Mar 2021 00:47:00.000,-5239.530110,-1474.269876,5264.405762,-3.014477,-5.453706,-3.483004
21 Mar 2021 00:48:00.000,-5411.583262,-1798.762134,5046.876508,-2.724096,-5.364523,-3.764893
21 Mar 2021 00:49:00.000,-5566.088801,-2117.420660,4812.937547,-2.429681,-5.259543,-4.030061
21 Mar 2021 00:50:00.000,-5702.834401,-2429.321795,4563.599618,-2.132200,-5.139568,-4.278277
21 Mar 2021 00:51:00.000,-5821.664327,-2733.589731,4299.885413,-1.832571,-5.005386,-4.509372
21 Mar 2021 00:52:00.000,-5922.476226,-3029.395743,4022.826132,-1.531655,-4.857774,-4.723229
21 Mar 2021 00:53:00.000,-6005.218048,-3315.957259,3733.458456,-1.230267,-4.697492,-4.919781
21 Mar 2021 00:54:00.000,-6069.885135,-3592.536811,3432.821928,-0.929174,-4.525281,-5.098996
21 Mar 2021 00:55:00.000,-6116.517479,-3858.440902,3121.956692,-0.629098,-4.341862,-5.260882
21 Mar 2021 00:56:00.000,-6145.197165,-4113.018813,2801.901556,-0.330720,-4.147938,-5.405474
21 Mar 2021 00:57:00.000,-6156.045987,-4355.661400,2473.692354,-0.034687,-3.944190,-5.532832
21 Mar 2021 00:58:00.000,-6149.223266,-4585.799877,2138.360570,0.258395,-3.731282,-5.643037
21 Mar 2021 00:59:00.000,-6124.923842,-4802.904627,1796.932194,0.547946,-3.509856,-5.736188
21 Mar 2021 01:00:00.000,-6083.376256,-5006.484047,1450.426784,0.833418,-3.280537,-5.812398
21 Mar 2021 01:01:00.000,-6024.841106,-5196.083449,1099.856704,1.114288,-3.043931,-5.871792
21 Mar 2021 01:02:00.000,-5949.609584,-5371.284019,746.226517,1.390055,-2.800629,-5.914502
21 Mar 2021 01:03:00.000,-5858.002173,-5531.701862,390.532508,1.660241,-2.551206,-5.940670
21 Mar 2021 01:04:00.000,-5750.367510,-5676.987119,33.762315,1.924381,-2.296223,-5.950442
21 Mar 2021 01:05:00.000,-5627.081405,-5806.823184,-323.105355,2.182030,-2.036232,-5.943969
21 Mar 2021 01:06:00.000,-5488.546006,-5920.926017,-679.100935,2.432754,-1.771769,-5.921405
21 Mar 2021 01:07:00.000,-5335.189099,-6019.043553,-1033.264163,2.676128,-1.503366,-5.882907
21 Mar 2021 01:08:00.000,-5167.463548,-6100.955233,-1384.644205,2.911739,-1.231545,-5.828633
21 Mar 2021 01:09:00.000,-4985.846856,-6166.471628,-1732.299772,3.139177,-0.956825,-5.758745
21 Mar 2021 01:10:00.000,-4790.840840,-6215.434193,-2075.299218,3.358039,-0.679720,-5.673405
21 Mar 2021 01:11:00.000,-4582.971419,-6247.715125,-2412.720667,3.567925,-0.400744,-5.572779
21 Mar 2021 01:12:00.000,-4362.788505,-6263.217350,-2743.652155,3.768434,-0.120411,-5.457035
21 Mar 2021 01:13:00.000,-4130.865977,-6261.874625,-3067.191821,3.959167,0.160764,-5.326344
21 Mar 2021 01:14:00.000,-3887.801750,-6243.651767,-3382.448147,4.139723,0.442258,-5.180885
21 Mar 2021 01:15:00.000,-3634.217917,-6208.545004,-3688.540274,4.309699,0.723544,-5.020838
21 Mar 2021 01:16:00.000,-3370.760951,-6156.582450,-3984.598401,4.468688,1.004085,-4.846394
21 Mar 2021 01:17:00.000,-3098.101975,-6087.824714,-4269.764279,4.616276,1.283333,-4.657752
21 Mar 2021 01:18:00.000,-2816.937066,-6002.365624,-4543.191828,4.752048,1.560729,-4.455121
21 Mar 2021 01:19:00.000,-2527.987606,-5900.333092,-4804.047877,4.875580,1.835696,-4.238726
21 Mar 2021 01:20:00.000,-2232.000645,-5781.890090,-5051.513056,4.986443,2.107642,-4.008805
21 Mar 2021 01:21:00.000,-1929.749278,-5647.235761,-5284.782850,5.084202,2.375955,-3.765618
21 Mar 2021 01:22:00.000,-1622.033015,-5496.606650,-5503.068836,5.168416,2.640001,-3.509443
21 Mar 2021 01:23:00.000,-1309.678126,-5330.278049,-5705.600123,5.238637,2.899124,-3.240587
21 Mar 2021 01:24:00.000,-993.537945,-5148.565456,-5891.625003,5.294415,3.152643,-2.959383
21 Mar 2021 01:25:00.000,-674.493108,-4951.826146,-6060.412851,5.335295,3.399850,-2.666201
21 Mar 2021 01:26:00.000,-353.451707,-4740.460826,-6211.256278,5.360820,3.640007,-2.361445
21 Mar 2021 01:27:00.000,-31.349325,-4514.915386,-6343.473564,5.370533,3.872348,-2.045564
21 Mar 2021 01:28:00.000,290.851062,-4275.682714,-6456.411392,5.363982,4.096077,-1.719055
21 Mar 2021 01:29:00.000,612.159374,-4023.304560,-6549.447897,5.340718,4.310363,-1.382466
21 Mar 2021 01:30:00.000,931.558909,-3758.373432,-6621.996050,5.300303,4.514348,-1.036406
21 Mar 2021 01:31:00.000,1248.007094,-3481.534489,-6673.507400,5.242315,4.707138,-0.681549
21 Mar 2021 01:32:00.000,1560.436519,-3193.487401,-6703.476177,5.166349,4.887811,-0.318639
21 Mar 2021 01:33:00.000,1867.756315,-2894.988138,-6711.443769,5.072027,5.055414,0.051500
21 Mar 2021 01:34:00.000,2168.853921,-2586.850643,-6697.003584,4.959004,5.208968,0.427961
21 Mar 2021 01:35:00.000,2462.597304,-2269.948329,-6659.806290,4.826973,5.347471,0.809746
21 Mar 2021 01:36:00.000,2747.837663,-1945.215346,-6599.565420,4.675681,5.469899,1.195762
21 Mar 2021 01:37:00.000,3023.412705,-1613.647542,-6516.063333,4.504931,5.575218,1.584810
21 Mar 2021 01:38:00.000,3288.150522,-1276.303054,-6409.157491,4.314596,5.662385,1.975586
21 Mar 2021 01:39:00.000,3540.874141,-934.302419,-6278.787012,4.104632,5.730361,2.366674
21 Mar 2021 01:40:00.000,3780.406794,-588.828132,-6124.979428,3.875089,5.778118,2.756541
21 Mar 2021 01:41:00.000,4005.577954,-241.123542,-5947.857589,3.626124,5.804653,3.143542
21 Mar 2021 01:42:00.000,4215.230165,107.509024,-5747.646583,3.358016,5.809002,3.525913
21 Mar 2021 01:43:00.000,4408.226703,455.711011,-5524.680573,3.071178,5.790254,3.901778
21 Mar 2021 01:44:00.000,4583.460061,802.071373,-5279.409391,2.766172,5.747572,4.269153
21 Mar 2021 01:45:00.000,4739.861244,1145.131404,-5012.404721,2.443723,5.680206,4.625958
21 Mar 2021 01:46:00.000,4876.409836,1483.390745,-4724.365673,2.104731,5.587520,4.970024
21 Mar 2021 01:47:00.000,4992.144756,1815.314665,-4416.123539,1.750277,5.469010,5.299110
21 Mar 2021 01:48:00.000,5086.175600,2139.342654,-4088.645478,1.381639,5.324328,5.610928
21 Mar 2021 01:49:00.000,5157.694409,2453.898364,-3743.036914,1.000294,5.153303,5.903161
21 Mar 2021 01:50:00.000,5205.987687,2757.400887,-3380.542362,0.607917,4.955963,6.173493
21 Mar 2021 01:51:00.000,5230.448426,3048.277299,-3002.544462,0.206383,4.732556,6.419643
21 Mar 2021 01:52:00.000,5230.587866,3324.976382,-2610.560994,-0.202242,4.483567,6.639398
21 Mar 2021 01:53:00.000,5206.046693,3585.983336,-2206.239667,-0.615712,4.209734,6.830652
21 Mar 2021 01:54:00.000,5156.605341,3829.835271,-1791.350555,-1.031621,3.912057,6.991447
21 Mar 2021 01:55:00.000,5082.193042,4055.137189,-1367.776091,-1.447425,3.591803,7.120010
21 Mar 2021 01:56:00.000,4982.895305,4260.578121,-937.498614,-1.860472,3.250506,7.214799
21 Mar 2021 01:57:00.000,4858.959465,4444.947036,-502.585550,-2.268037,2.889960,7.274534
21 Mar 2021 01:58:00.000,4710.798042,4607.148122,-65.172413,-2.667358,2.512203,7.298236
21 Mar 2021 01:59:00.000,4538.989656,4746.214996,372.556120,-3.055679,2.119499,7.285254
21 Mar 2021 02:00:00.000,4344.277336,4861.323451,808.386684,-3.430295,1.714308,7.235285
21 Mar 2021 02:01:00.000,4127.564159,4951.802328,1240.098810,-3.788594,1.299253,7.148392
21 Mar 2021 02:02:00.000,3889.906215,5017.142199,1665.487126,-4.128104,0.877081,7.025008
21 Mar 2021 02:03:00.000,3632.503035,5057.001573,2082.383623,-4.446527,0.450622,6.865933
21 Mar 2021 02:04:00.000,3356.685674,5071.210460,2488.679431,-4.741783,0.022743,6.672322
21 Mar 2021 02:05:00.000,3063.902758,5059.771191,2882.345577,-5.012035,-0.403697,6.445662
21 Mar 2021 02:06:00.000,2755.704863,5022.856524,3261.452213,-5.255718,-0.825890,6.187748
21 Mar 2021 02:07:00.000,2433.727634,4960.805126,3624.185890,-5.471553,-1.241123,5.900645
21 Mar 2021 02:08:00.000,2099.674104,4874.114648,3968.864531,-5.658560,-1.646816,5.586646
21 Mar 2021 02:09:00.000,1755.296659,4763.432645,4293.949842,-5.816060,-2.040553,5.248231
21 Mar 2021 02:10:00.000,1402.379095,4629.545692,4598.057027,-5.943668,-2.420114,4.888023
21 Mar 2021 02:11:00.000,1042.719163,4473.367036,4879.961744,-6.041285,-2.783491,4.508738
21 Mar 2021 02:12:00.000,678.111965,4295.923191,5138.604361,-6.109083,-3.128906,4.113143
21 Mar 2021 02:13:00.000,310.334489,4098.339842,5373.091627,-6.147478,-3.454822,3.704016
21 Mar 2021 02:14:00.000,-58.868486,3881.827423,5582.695967,-6.157114,-3.759941,3.284103
21 Mar 2021 02:15:00.000,-427.796950,3647.666716,5766.852646,-6.138830,-4.043206,2.856089
21 Mar 2021 02:16:00.000,-794.806601,3397.194737,5925.155065,-6.093636,-4.303789,2.422567
21 Mar 2021 02:17:00.000,-1158.318112,3131.791188,6057.348523,-6.022682,-4.541087,1.986016
21 Mar 2021 02:18:00.000,-1516.824756,2852.865648,6163.322708,-5.927236,-4.754701,1.548778
21 Mar 2021 02:19:00.000,-1868.898431,2561.845664,6243.103240,-5.808651,-4.944427,1.113049
21 Mar 2021 02:20:00.000,-2213.194194,2260.165847,6296.842536,-5.668346,-5.110231,0.680866
21 Mar 2021 02:21:00.000,-2548.453401,1949.258032,6324.810236,-5.507781,-5.252236,0.254106
21 Mar 2021 02:22:00.000,-2873.505609,1630.542532,6327.383443,-5.328438,-5.370704,-0.165521
21 Mar 2021 02:23:00.000,-3187.269362,1305.420475,6305.036936,-5.131803,-5.466013,-0.576467
21 Mar 2021 02:24:00.000,-3488.752018,975.267203,6258.333549,-4.919354,-5.538644,-0.977344
21 Mar 2021 02:25:00.000,-3777.048759,641.426685,6187.914834,-4.692542,-5.589164,-1.366915
21 Mar 2021 02:26:00.000,-4051.340915,305.206863,6094.492106,-4.452787,-5.618207,-1.744092
21 Mar 2021 02:27:00.000,-4310.893749,-32.124108,5978.837969,-4.201469,-5.626465,-2.107922
21 Mar 2021 02:28:00.000,-4555.053792,-369.340844,5841.778353,-3.939917,-5.614671,-2.457582
21 Mar 2021 02:29:00.000,-4783.245867,-705.262987,5684.185112,-3.669410,-5.583592,-2.792366
21 Mar 2021 02:30:00.000,-4994.969872,-1038.756831,5506.969205,-3.391171,-5.534016,-3.111678
21 Mar 2021 02:31:00.000,-5189.797421,-1368.736398,5311.074445,-3.106366,-5.466743,-3.415020
21 Mar 2021 02:32:00.000,-5367.368404,-1694.164025,5097.471827,-2.816104,-5.382581,-3.701984
21 Mar 2021 02:33:00.000,-5527.387530,-2014.050552,4867.154411,-2.521435,-5.282335,-3.972242
