"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
21 Mar 2021 00:00:00.000,-2890.472331,5080.839508,6864.495260,-5.723175,-2.487646,-1.366573
21 Mar 2021 00:01:00.000,-3230.924241,4926.643633,6775.771780,-5.622834,-2.651661,-1.590561
21 Mar 2021 00:02:00.000,-3564.980749,4762.701065,6673.615299,-5.510011,-2.812494,-1.814242
21 Mar 2021 00:03:00.000,-3891.888567,4589.213097,6558.055748,-5.384563,-2.969798,-2.037239
21 Mar 2021 00:04:00.000,-4210.886177,4406.402384,6429.146338,-5.246357,-3.123207,-2.259152
21 Mar 2021 00:05:00.000,-4521.204518,4214.513917,6286.964920,-5.095275,-3.272342,-2.479559
21 Mar 2021 00:06:00.000,-4822.067831,4013.816029,6131.615419,-4.931212,-3.416804,-2.698014
21 Mar 2021 00:07:00.000,-5112.694675,3804.601421,5963.229343,-4.754081,-3.556177,-2.914042
21 Mar 2021 00:08:00.000,-5392.299126,3587.188206,5781.967366,-4.563820,-3.690030,-3.127146
21 Mar 2021 00:09:00.000,-5660.092192,3361.920953,5588.020968,-4.360389,-3.817912,-3.336795
21 Mar 2021 00:10:00.000,-5915.283451,3129.171726,5381.614135,-4.143780,-3.939356,-3.542435
21 Mar 2021 00:11:00.000,-6157.082935,2889.341105,5163.005101,-3.914017,-4.053878,-3.743478
21 Mar 2021 00:12:00.000,-6384.703285,2642.859163,4932.488114,-3.671162,-4.160977,-3.939310
21 Mar 2021 00:13:00.000,-6597.362193,2390.186392,4690.395229,-3.415324,-4.260140,-4.129284
21 Mar 2021 00:14:00.000,-6794.285152,2131.814548,4437.098073,-3.146655,-4.350837,-4.312725
21 Mar 2021 00:15:00.000,-6974.708523,1868.267397,4173.009601,-2.865367,-4.432531,-4.488930
21 Mar 2021 00:16:00.000,-7137.882953,1600.101330,3898.585772,-2.571727,-4.504672,-4.657168
21 Mar 2021 00:17:00.000,-7283.077136,1327.905822,3614.327148,-2.266071,-4.566706,-4.816682
21 Mar 2021 00:18:00.000,-7409.581934,1052.303694,3320.780354,-1.948805,-4.618077,-4.966693
21 Mar 2021 00:19:00.000,-7516.714861,773.951154,3018.539376,-1.620415,-4.658230,-5.106400
21 Mar 2021 00:20:00.000,-7603.824933,493.537572,2708.246636,-1.281468,-4.686616,-5.234990
21 Mar 2021 00:21:00.000,-7670.297849,211.784951,2390.593809,-0.932622,-4.702697,-5.351636
21 Mar 2021 00:22:00.000,-7715.561511,-70.552943,2066.322309,-0.574629,-4.705956,-5.455507
