"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
21 Mar 2021 00:00:00.000,3893.282960,-3631.208760,4970.462800,7.260089,1.549507,-2.494745
21 Mar 2021 00:01:00.000,4321.469469,-3531.634630,4811.780224,7.010551,1.767164,-2.792604
21 Mar 2021 00:02:00.000,4734.190213,-3419.410617,4635.825707,6.744920,1.971125,-3.070385
21 Mar 2021 00:03:00.000,5130.550937,-3295.361403,4443.804039,6.465580,2.161328,-3.328099
21 Mar 2021 00:04:00.000,5509.795641,-3160.311692,4236.914436,6.174751,2.337835,-3.565924
21 Mar 2021 00:05:00.000,5871.296720,-3015.079340,4016.341204,5.874486,2.500811,-3.784181
21 Mar 2021 00:06:00.000,6214.544773,-2860.469683,3783.246129,5.566667,2.650506,-3.983301
21 Mar 2021 00:07:00.000,6539.138343,-2697.270968,3538.762419,5.253005,2.787237,-4.163804
21 Mar 2021 00:08:00.000,6844.773854,-2526.250780,3283.990047,4.935047,2.911373,-4.326278
21 Mar 2021 00:09:00.000,7131.235894,-2348.153327,3019.992309,4.614181,3.023320,-4.471356
21 Mar 2021 00:10:00.000,7398.387993,-2163.697494,2747.793436,4.291646,3.123513,-4.599705
21 Mar 2021 00:11:00.000,7646.163962,-1973.575534,2468.377091,3.968543,3.212401,-4.712007
21 Mar 2021 00:12:00.000,7874.559850,-1778.452309,2182.685617,3.645845,3.290443,-4.808955
21 Mar 2021 00:13:00.000,8083.626546,-1578.964971,1891.619889,3.324406,3.358100,-4.891235
21 Mar 2021 00:14:00.000,8273.463023,-1375.723020,1596.039663,3.004975,3.415829,-4.959528
21 Mar 2021 00:15:00.000,8444.210212,-1169.308649,1296.764318,2.688203,3.464080,-5.014497
21 Mar 2021 00:16:00.000,8596.045477,-960.277326,994.573897,2.374654,3.503290,-5.056787
21 Mar 2021 00:17:00.000,8729.177672,-749.158553,690.210380,2.064816,3.533885,-5.087019
21 Mar 2021 00:18:00.000,8843.842726,-536.456751,384.379122,1.759106,3.556273,-5.105792
21 Mar 2021 00:19:00.000,8940.299731,-322.652252,77.750408,1.457882,3.570846,-5.113674
21 Mar 2021 00:20:00.000,9018.827482,-108.202344,-229.038927,1.161446,3.577978,-5.111211
21 Mar 2021 00:21:00.000,9079.721439,106.457642,-535.383833,0.870053,3.578026,-5.098916
21 Mar 2021 00:22:00.000,9123.291068,320.913224,-840.709379,0.583919,3.571327,-5.077278
21 Mar 2021 00:23:00.000,9149.857518,534.769670,-1144.469091,0.303221,3.558201,-5.046757
21 Mar 2021 00:24:00.000,9159.751618,747.650898,-1446.143326,0.028106,3.538950,-5.007787
21 Mar 2021 00:25:00.000,9153.312141,959.198406,-1745.237683,-0.241305,3.513858,-4.960776
21 Mar 2021 00:26:00.000,9130.884323,1169.070233,-2041.281471,-0.504915,3.483191,-4.906107
21 Mar 2021 00:27:00.000,9092.818598,1376.939945,-2333.826231,-0.762645,3.447201,-4.844139
21 Mar 2021 00:28:00.000,9039.469537,1582.495672,-2622.444321,-1.014433,3.406123,-4.775207
21 Mar 2021 00:29:00.000,8971.194957,1785.439178,-2906.727571,-1.260233,3.360177,-4.699626
21 Mar 2021 00:30:00.000,8888.355192,1985.484975,-3186.285999,-1.500005,3.309568,-4.617690
21 Mar 2021 00:31:00.000,8791.312496,2182.359485,-3460.746598,-1.733721,3.254488,-4.529671
21 Mar 2021 00:32:00.000,8680.430584,2375.800238,-3729.752190,-1.961362,3.195118,-4.435824
21 Mar 2021 00:33:00.000,8556.074266,2565.555121,-3992.960345,-2.182909,3.131622,-4.336389
21 Mar 2021 00:34:00.000,8418.609196,2751.381664,-4250.042359,-2.398350,3.064158,-4.231585
21 Mar 2021 00:35:00.000,8268.401694,2933.046370,-4500.682303,-2.607676,2.992870,-4.121618
21 Mar 2021 00:36:00.000,8105.818664,3110.324082,-4744.576127,-2.810877,2.917892,-4.006681
21 Mar 2021 00:37:00.000,7931.227566,3282.997391,-4981.430819,-3.007943,2.839348,-3.886950
21 Mar 2021 00:38:00.000,7744.996465,3450.856084,-5210.963625,-3.198864,2.757356,-3.762591
21 Mar 2021 00:39:00.000,7547.494128,3613.696618,-5432.901316,-3.383627,2.672023,-3.633757
21 Mar 2021 00:40:00.000,7339.090185,3771.321644,-5646.979515,-3.562217,2.583448,-3.500591
21 Mar 2021 00:41:00.000,7120.155327,3923.539546,-5852.942062,-3.734613,2.491724,-3.363226
21 Mar 2021 00:42:00.000,6891.061558,4070.164027,-6050.540435,-3.900793,2.396936,-3.221783
21 Mar 2021 00:43:00.000,6652.182482,4211.013717,-6239.533211,-4.060727,2.299164,-3.076378
21 Mar 2021 00:44:00.000,6403.893635,4345.911817,-6419.685573,-4.214381,2.198482,-2.927117
21 Mar 2021 00:45:00.000,6146.572850,4474.685765,-6590.768861,-4.361714,2.094959,-2.774099
21 Mar 2021 00:46:00.000,5880.600661,4597.166935,-6752.560160,-4.502678,1.988656,-2.617417
21 Mar 2021 00:47:00.000,5606.360740,4713.190362,-6904.841936,-4.637217,1.879635,-2.457158
21 Mar 2021 00:48:00.000,5324.240366,4822.594497,-7047.401702,-4.765267,1.767950,-2.293403
21 Mar 2021 00:49:00.000,5034.630931,4925.220985,-7180.031735,-4.886756,1.653652,-2.126230
21 Mar 2021 00:50:00.000,4737.928475,5020.914472,-7302.528824,-5.001604,1.536792,-1.955712
21 Mar 2021 00:51:00.000,4434.534259,5109.522438,-7414.694063,-5.109717,1.417414,-1.781918
21 Mar 2021 00:52:00.000,4124.855366,5190.895061,-7516.332682,-5.210996,1.295562,-1.604917
21 Mar 2021 00:53:00.000,3809.305339,5264.885109,-7607.253925,-5.305326,1.171281,-1.424774
21 Mar 2021 00:54:00.000,3488.304852,5331.347856,-7687.270964,-5.392585,1.044609,-1.241553
21 Mar 2021 00:55:00.000,3162.282418,5390.141034,-7756.200862,-5.472635,0.915590,-1.055320
