"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
21 Mar 2021 00:00:00.000,8651.590024,-728.127641,-4612.124265,2.667595,-0.045627,5.145250
21 Mar 2021 00:01:00.000,8805.018811,-730.315297,-4300.034249,2.447757,-0.027261,5.257699
21 Mar 2021 00:02:00.000,8945.134121,-731.398820,-3981.432752,2.223759,-0.008815,5.362407
21 Mar 2021 00:03:00.000,9071.691225,-731.373864,-3656.787472,1.995749,0.009697,5.459257
21 Mar 2021 00:04:00.000,9184.454206,-730.236891,-3326.573306,1.763873,0.028261,5.548124
21 Mar 2021 00:05:00.000,9283.195961,-727.985186,-2991.272826,1.528281,0.046864,5.628876
21 Mar 2021 00:06:00.000,9367.698265,-724.616874,-2651.376795,1.289120,0.065491,5.701371
21 Mar 2021 00:07:00.000,9437.751897,-720.130943,-2307.384690,1.046545,0.084127,5.765459
21 Mar 2021 00:08:00.000,9493.156837,-714.527273,-1959.805255,0.800710,0.102757,5.820980
21 Mar 2021 00:09:00.000,9533.722519,-707.806671,-1609.157075,0.551776,0.121366,5.867764
21 Mar 2021 00:10:00.000,9559.268167,-699.970907,-1255.969158,0.299912,0.139937,5.905633
21 Mar 2021 00:11:00.000,9569.623202,-691.022763,-900.781542,0.045292,0.158452,5.934397
21 Mar 2021 00:12:00.000,9564.627726,-680.966079,-544.145909,-0.211900,0.176894,5.953858
21 Mar 2021 00:13:00.000,9544.133104,-669.805815,-186.626204,-0.471471,0.195243,5.963805
21 Mar 2021 00:14:00.000,9508.002618,-657.548110,171.200728,-0.733214,0.213479,5.964019
21 Mar 2021 00:15:00.000,9456.112238,-644.200356,528.744517,-0.996911,0.231580,5.954269
21 Mar 2021 00:16:00.000,9388.351478,-629.771273,885.400638,-1.262326,0.249523,5.934315
21 Mar 2021 00:17:00.000,9304.624374,-614.270995,1240.549796,-1.529207,0.267285,5.903906
21 Mar 2021 00:18:00.000,9204.850574,-597.711162,1593.557321,-1.797284,0.284839,5.862782
21 Mar 2021 00:19:00.000,9088.966553,-580.105019,1943.772598,-2.066265,0.302157,5.810673
21 Mar 2021 00:20:00.000,8956.926959,-561.467527,2290.528520,-2.335834,0.319210,5.747301
21 Mar 2021 00:21:00.000,8808.706102,-541.815481,2633.140990,-2.605649,0.335966,5.672381
21 Mar 2021 00:22:00.000,8644.299584,-521.167631,2970.908486,-2.875341,0.352393,5.585620
21 Mar 2021 00:23:00.000,8463.726097,-499.544823,3303.111690,-3.144510,0.368452,5.486719
21 Mar 2021 00:24:00.000,8267.029373,-476.970139,3629.013209,-3.412719,0.384107,5.375379
21 Mar 2021 00:25:00.000,8054.280311,-453.469051,3947.857409,-3.679499,0.399316,5.251294
21 Mar 2021 00:26:00.000,7825.579276,-429.069584,4258.870369,-3.944337,0.414035,5.114163
21 Mar 2021 00:27:00.000,7581.058591,-403.802483,4561.260001,-4.206682,0.428217,4.963686
21 Mar 2021 00:28:00.000,7320.885200,-377.701394,4854.216344,-4.465933,0.441813,4.799569
21 Mar 2021 00:29:00.000,7045.263530,-350.803049,5136.912074,-4.721442,0.454770,4.621531
21 Mar 2021 00:30:00.000,6754.438532,-323.147456,5408.503270,-4.972508,0.467032,4.429302
21 Mar 2021 00:31:00.000,6448.698906,-294.778097,5668.130453,-5.218377,0.478539,4.222636
21 Mar 2021 00:32:00.000,6128.380489,-265.742125,5914.919965,-5.458235,0.489229,4.001309
21 Mar 2021 00:33:00.000,5793.869809,-236.090568,6147.985719,-5.691210,0.499036,3.765131
21 Mar 2021 00:34:00.000,5445.607765,-205.878521,6366.431366,-5.916364,0.507890,3.513951
21 Mar 2021 00:35:00.000,5084.093408,-175.165343,6569.352944,-6.132701,0.515719,3.247666
21 Mar 2021 00:36:00.000,4709.887794,-144.014837,6755.842048,-6.339154,0.522447,2.966230
21 Mar 2021 00:37:00.000,4323.617849,-112.495415,6924.989580,-6.534597,0.527996,2.669664
21 Mar 2021 00:38:00.000,3925.980182,-80.680251,7075.890140,-6.717837,0.532287,2.358069
21 Mar 2021 00:39:00.000,3517.744782,-48.647394,7207.647094,-6.887623,0.535237,2.031633
21 Mar 2021 00:40:00.000,3099.758503,-16.479858,7319.378376,-7.042645,0.536762,1.690650
21 Mar 2021 00:41:00.000,2672.948227,15.734339,7410.223065,-7.181546,0.536780,1.335527
21 Mar 2021 00:42:00.000,2238.323594,47.902183,7479.348750,-7.302924,0.535207,0.966804
21 Mar 2021 00:43:00.000,1796.979155,79.925741,7525.959714,-7.405349,0.531961,0.585161
21 Mar 2021 00:44:00.000,1350.095790,111.702298,7549.305912,-7.487372,0.526965,0.191438
21 Mar 2021 00:45:00.000,898.941235,143.124595,7548.692720,-7.547541,0.520146,-0.213359
21 Mar 2021 00:46:00.000,444.869538,174.081144,7523.491395,-7.584427,0.511434,-0.628042
21 Mar 2021 00:47:00.000,-10.680747,204.456658,7473.150139,-7.596639,0.500772,-1.051231
21 Mar 2021 00:48:00.000,-466.189802,234.132593,7397.205632,-7.582853,0.488110,-1.481352
21 Mar 2021 00:49:00.000,-920.061395,262.987803,7295.294861,-7.541842,0.473409,-1.916632
21 Mar 2021 00:50:00.000,-1370.629501,290.899329,7167.167010,-7.472505,0.456648,-2.355095
21 Mar 2021 00:51:00.000,-1816.166818,317.743307,7012.695129,-7.373901,0.437820,-2.794578
21 Mar 2021 00:52:00.000,-2254.895252,343.396005,6831.887284,-7.245281,0.416935,-3.232735
21 Mar 2021 00:53:00.000,-2684.998413,367.734974,6624.896809,-7.086123,0.394026,-3.667059
21 Mar 2021 00:54:00.000,-3104.636066,390.640294,6392.031292,-6.896164,0.369146,-4.094904
21 Mar 2021 00:55:00.000,-3511.960427,411.995918,6133.759885,-6.675429,0.342371,-4.513522
21 Mar 2021 00:56:00.000,-3905.134088,431.691054,5850.718541,-6.424257,0.313803,-4.920099
21 Mar 2021 00:57:00.000,-4282.349266,449.621594,5543.712811,-6.143314,0.283564,-5.311794
21 Mar 2021 00:58:00.000,-4641.847992,465.691511,5213.717882,-5.833614,0.251801,-5.685798
21 Mar 2021 00:59:00.000,-4981.942748,479.814227,4861.875588,-5.496511,0.218683,-6.039378
21 Mar 2021 01:00:00.000,-5301.037017,491.913872,4489.488264,-5.133701,0.184399,-6.369932
21 Mar 2021 01:01:00.000,-5597.645159,501.926415,4098.009394,-4.747197,0.149155,-6.675044
21 Mar 2021 01:02:00.000,-5870.410993,509.800627,3689.031144,-4.339307,0.113171,-6.952533
21 Mar 2021 01:03:00.000,-6118.124518,515.498820,3264.269026,-3.912597,0.076678,-7.200496
21 Mar 2021 01:04:00.000,-6339.736219,518.997367,2825.544023,-3.469844,0.039912,-7.417348
21 Mar 2021 01:05:00.000,-6534.368519,520.286950,2374.762683,-3.013989,0.003112,-7.601847
21 Mar 2021 01:06:00.000,-6701.324033,519.372563,1913.895720,-2.548076,-0.033485,-7.753117
