"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
21 Mar 2021 00:00:00.000,-986.462637,-1383.875979,6711.212650,0.249175,7.419044,1.562962
21 Mar 2021 00:01:00.000,-969.401533,-936.076287,6790.450743,0.319326,7.502253,1.077365
21 Mar 2021 00:02:00.000,-948.171223,-484.250761,6840.404075,0.388098,7.553192,0.587152
21 Mar 2021 00:03:00.000,-922.863217,-30.342698,6860.858683,0.455200,7.571647,0.094425
21 Mar 2021 00:04:00.000,-893.586430,423.695850,6851.726929,0.520343,7.557540,-0.398708
21 Mar 2021 00:05:00.000,-860.466720,875.912287,6813.047843,0.583251,7.510931,-0.890135
21 Mar 2021 00:06:00.000,-823.646360,1324.361688,6744.986968,0.643653,7.432016,-1.377751
21 Mar 2021 00:07:00.000,-783.283448,1767.114996,6647.835713,0.701293,7.321128,-1.859468
21 Mar 2021 00:08:00.000,-739.551244,2202.267156,6522.010191,0.755922,7.178733,-2.333218
21 Mar 2021 00:09:00.000,-692.637460,2627.945180,6368.049573,0.807306,7.005434,-2.796968
21 Mar 2021 00:10:00.000,-642.743475,3042.316112,6186.613928,0.855225,6.801963,-3.248723
21 Mar 2021 00:11:00.000,-590.083500,3443.594852,5978.481573,0.899472,6.569182,-3.686537
21 Mar 2021 00:12:00.000,-534.883687,3830.051825,5744.545926,0.939855,6.308079,-4.108521
21 Mar 2021 00:13:00.000,-477.381181,4200.020456,5485.811868,0.976200,6.019765,-4.512851
21 Mar 2021 00:14:00.000,-417.823124,4551.904422,5203.391613,1.008348,5.705472,-4.897774
21 Mar 2021 00:15:00.000,-356.465609,4884.184644,4898.500109,1.036160,5.366541,-5.261619
21 Mar 2021 00:16:00.000,-293.572590,5195.425992,4572.449958,1.059513,5.004428,-5.602804
21 Mar 2021 00:17:00.000,-229.414752,5484.283661,4226.645895,1.078305,4.620688,-5.919842
21 Mar 2021 00:18:00.000,-164.268349,5749.509183,3862.578818,1.092453,4.216975,-6.211348
21 Mar 2021 00:19:00.000,-98.413999,5989.956051,3481.819401,1.101894,3.795032,-6.476049
21 Mar 2021 00:20:00.000,-32.135466,6204.584901,3086.011319,1.106587,3.356687,-6.712787
