"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
21 Mar 2021 00:00:00.000,-1041.073737,-4451.850903,-5760.141555,-0.599322,5.851898,-4.416450
21 Mar 2021 00:01:00.000,-1075.139095,-4092.939937,-6014.584045,-0.535850,6.108187,-4.062417
21 Mar 2021 00:02:00.000,-1105.337811,-3719.308955,-6247.342618,-0.470473,6.342419,-3.693870
21 Mar 2021 00:03:00.000,-1131.562671,-3332.306385,-6457.586004,-0.403427,6.553773,-3.312137
21 Mar 2021 00:04:00.000,-1153.720708,-2933.327450,-6644.564013,-0.334953,6.741512,-2.918590
21 Mar 2021 00:05:00.000,-1171.733504,-2523.809175,-6807.610005,-0.265294,6.904979,-2.514642
21 Mar 2021 00:06:00.000,-1185.537430,-2105.225298,-6946.143074,-0.194699,7.043608,-2.101738
21 Mar 2021 00:07:00.000,-1195.083849,-1679.081063,-7059.669935,-0.123420,7.156916,-1.681353
21 Mar 2021 00:08:00.000,-1200.339261,-1246.907955,-7147.786518,-0.051709,7.244510,-1.254984
21 Mar 2021 00:09:00.000,-1201.285404,-810.258357,-7210.179270,0.020180,7.306088,-0.824149
21 Mar 2021 00:10:00.000,-1197.919297,-370.700153,-7246.626161,0.091990,7.341435,-0.390381
21 Mar 2021 00:11:00.000,-1190.253249,70.188692,-7256.997391,0.163468,7.350429,0.044778
21 Mar 2021 00:12:00.000,-1178.314805,510.825592,-7241.255811,0.234360,7.333039,0.479784
21 Mar 2021 00:13:00.000,-1162.146653,949.628804,-7199.457044,0.304416,7.289324,0.913090
21 Mar 2021 00:14:00.000,-1141.806477,1385.022885,-7131.749313,0.373386,7.219435,1.343157
21 Mar 2021 00:15:00.000,-1117.366769,1815.444146,-7038.372973,0.441026,7.123613,1.768454
21 Mar 2021 00:16:00.000,-1088.914586,2239.346073,-6919.659750,0.507095,7.002189,2.187466
21 Mar 2021 00:17:00.000,-1056.551267,2655.204699,-6776.031686,0.571358,6.855583,2.598699
