100	3.00933	3.00949	3.01065	3.01279	3.01592	3.02003	3.02511	3.03118	3.03822	3.04623	3.05519	3.06509	3.07594	3.08767	3.10032	3.11463	3.12905	3.14427	3.16027	3.17702	3.19446	3.21255	3.23124	3.25048	3.27017	3.29027	3.31071	3.33139	3.35223	3.37315	3.39403	3.41479	3.43532	3.4555	3.47523	3.49439	3.51287	3.53055	3.54732	3.56309	3.57773	3.59117	3.60328	3.61402	3.6233	3.63106	3.63725	3.64184	3.64481	3.64613	3.64588	3.64405	3.64063	3.63563	3.62913	3.62118	3.61184	3.60118	3.58929	3.57626	3.56216	3.5471	3.53117	3.51447	3.49706	3.47908	3.46061	3.44173	3.42253	3.40311	3.38356	3.36392	3.3443	3.32477	3.30539	3.28624	3.26737	3.24886	3.23072	3.21305	3.19588	3.17926	3.16324	3.14784	3.13312	3.11908	3.10578	3.09325	3.08151	3.07058	3.06049	3.05126	3.04291	3.03544	3.02889	3.02327	3.01857	3.01482	3.01203	3.01019	
200	0.752352	0.752453	0.7528	0.753393	0.754232	0.755317	0.756646	0.75822	0.760037	0.762094	0.76439	0.766921	0.769693	0.772675	0.775887	0.779519	0.783168	0.787025	0.791071	0.7953	0.7997	0.80426	0.808966	0.813814	0.818754	0.823803	0.828929	0.834112	0.839331	0.844562	0.84978	0.85496	0.860075	0.865098	0.869998	0.874755	0.879332	0.883704	0.887842	0.891721	0.895314	0.898598	0.901551	0.904153	0.906386	0.908237	0.909693	0.910745	0.911392	0.911625	0.911463	0.910898	0.909936	0.908586	0.906862	0.904778	0.902353	0.899604	0.896552	0.893219	0.889627	0.8858	0.881761	0.877535	0.873143	0.868612	0.863973	0.859218	0.854401	0.849533	0.844634	0.839724	0.834822	0.829958	0.825115	0.820343	0.815647	0.81104	0.806537	0.802151	0.79789	0.793776	0.789809	0.786002	0.782365	0.778905	0.775631	0.772548	0.769667	0.76699	0.764524	0.762274	0.760244	0.758438	0.756861	0.755515	0.754404	0.75353	0.752899	0.752502	
300	0.334381	0.334435	0.334597	0.334869	0.335251	0.335741	0.336341	0.337049	0.337864	0.338787	0.339816	0.340949	0.342182	0.343522	0.344957	0.346579	0.348206	0.349929	0.351734	0.35362	0.355581	0.357613	0.35971	0.361874	0.364068	0.366315	0.368595	0.370901	0.373221	0.375546	0.377864	0.380165	0.382436	0.384665	0.386839	0.388946	0.390974	0.39291	0.394741	0.396455	0.398042	0.399489	0.400791	0.401935	0.402915	0.403724	0.404357	0.404811	0.405084	0.405173	0.405086	0.404819	0.404376	0.403761	0.40298	0.402039	0.400949	0.399714	0.398346	0.396854	0.395248	0.393539	0.391736	0.38985	0.387892	0.385873	0.383802	0.38169	0.379547	0.377382	0.375203	0.373021	0.370843	0.368688	0.366532	0.364414	0.36233	0.360286	0.358289	0.356345	0.354467	0.352633	0.350876	0.349191	0.347581	0.346051	0.344603	0.343238	0.341968	0.340786	0.339699	0.338707	0.337814	0.33702	0.336328	0.335739	0.335255	0.334876	0.334603	0.334438	
400	0.18809	0.188122	0.188216	0.188372	0.188589	0.188867	0.189207	0.189607	0.190068	0.19059	0.191171	0.19181	0.192505	0.193262	0.194072	0.194986	0.195901	0.196874	0.197891	0.198954	0.200059	0.201203	0.202384	0.203592	0.204838	0.206102	0.207386	0.208683	0.209989	0.211296	0.2126	0.213894	0.21517	0.216423	0.217645	0.218829	0.219967	0.221054	0.222081	0.223043	0.223933	0.224745	0.225473	0.226113	0.22666	0.227111	0.227464	0.227715	0.227865	0.227911	0.227858	0.227703	0.227449	0.227099	0.226656	0.226122	0.225506	0.224808	0.224035	0.223193	0.222287	0.221322	0.220306	0.219243	0.218141	0.217003	0.215837	0.214649	0.213442	0.212224	0.210998	0.209771	0.208546	0.207328	0.206122	0.204931	0.20376	0.202611	0.201489	0.200397	0.199346	0.198312	0.197326	0.196379	0.195476	0.194617	0.193805	0.193038	0.192327	0.191665	0.191055	0.1905	0.19	0.189556	0.189169	0.188841	0.188571	0.18836	0.188209	0.188119	
500	0.120378	0.1204	0.120461	0.120561	0.120701	0.12088	0.121098	0.121355	0.121651	0.121986	0.122359	0.122769	0.123213	0.1237	0.124218	0.124805	0.125394	0.126015	0.126666	0.127347	0.128055	0.128788	0.129544	0.130317	0.131115	0.131925	0.132747	0.133577	0.134413	0.135249	0.136084	0.136911	0.137728	0.13853	0.139311	0.140068	0.140796	0.141491	0.142147	0.142762	0.14333	0.143848	0.144313	0.144721	0.14507	0.145358	0.145582	0.145741	0.145835	0.145863	0.145827	0.145727	0.145563	0.145337	0.145052	0.144708	0.144313	0.143865	0.143369	0.142829	0.142248	0.14163	0.140978	0.140298	0.139591	0.138863	0.138116	0.137355	0.136583	0.135803	0.135018	0.134233	0.133449	0.13267	0.131898	0.131136	0.130387	0.129652	0.128934	0.128236	0.127558	0.126903	0.126272	0.125667	0.12509	0.124541	0.124022	0.123532	0.123078	0.122655	0.122266	0.121911	0.121592	0.121309	0.121062	0.120853	0.120681	0.120548	0.120452	0.120395	
600	0.0835957	0.0836113	0.0836541	0.0837242	0.0838217	0.0839464	0.0840984	0.0842775	0.0844835	0.0847163	0.0849755	0.0852608	0.0855718	0.0859079	0.0862687	0.0866762	0.0870855	0.0875171	0.0879699	0.0884429	0.0889347	0.0894441	0.0899694	0.0905038	0.0910609	0.0916234	0.0921941	0.0927709	0.0933512	0.0939324	0.0945117	0.0950864	0.0956534	0.0962097	0.0967522	0.0972776	0.0977828	0.0982648	0.0987204	0.0991467	0.0995408	0.0999002	0.100222	0.100505	0.100747	0.100946	0.101101	0.101211	0.101275	0.101294	0.101268	0.101198	0.101083	0.100925	0.100727	0.100493	0.100212	0.0999004	0.0995555	0.0991799	0.0987759	0.0983463	0.0978936	0.0974205	0.0969295	0.0964235	0.0959048	0.095376	0.0948395	0.0942978	0.0937531	0.0932075	0.0926632	0.0921222	0.0915863	0.0910574	0.0905372	0.0900273	0.0895291	0.0890442	0.0885738	0.0881191	0.0876814	0.0872617	0.0868609	0.0864801	0.0861201	0.0857824	0.0854653	0.0851719	0.0849021	0.0846564	0.0844352	0.0842391	0.0840684	0.0839235	0.0838046	0.0837122	0.0836465	0.0836076	
700	0.0614173	0.0614262	0.0614554	0.0615043	0.0615734	0.0616599	0.0617739	0.0619009	0.0620498	0.0622172	0.0624064	0.0626137	0.0628398	0.0630826	0.0633473	0.0636444	0.0639353	0.0642556	0.0645889	0.0649345	0.0652913	0.0656719	0.0660513	0.0664465	0.0668476	0.0672633	0.0676819	0.0680952	0.0685363	0.0689582	0.0693842	0.0698035	0.0702243	0.0706341	0.0710251	0.0714257	0.0717949	0.0721512	0.072486	0.0728045	0.0730971	0.0733588	0.073607	0.0738162	0.0739976	0.074147	0.0742656	0.0743505	0.0744013	0.074421	0.0744057	0.0743582	0.074278	0.0741641	0.0740248	0.0738536	0.073653	0.0734289	0.0731788	0.0729087	0.072605	0.0722986	0.0719682	0.0716198	0.0712636	0.0708932	0.0705177	0.0701167	0.0697323	0.0693348	0.0689316	0.068534	0.0681339	0.0677411	0.0673323	0.0669524	0.0665693	0.0661906	0.0658263	0.0654687	0.0651264	0.0647833	0.0644626	0.0641524	0.0638603	0.0635672	0.0633075	0.0630566	0.0628203	0.0626041	0.0624034	0.0622232	0.0620514	0.0619087	0.0617807	0.0616712	0.0615817	0.0615111	0.0614608	0.0614283	
800	0.0470225	0.0470317	0.0470565	0.0470956	0.0471515	0.0472219	0.0473077	0.0474092	0.0475256	0.0476563	0.0478024	0.0479641	0.0481384	0.0483278	0.0485322	0.0487618	0.048991	0.049234	0.0494906	0.0497569	0.050032	0.0503187	0.0506163	0.0509179	0.0512285	0.0515471	0.0518683	0.0521905	0.052517	0.052846	0.0531719	0.0534929	0.0538138	0.0541265	0.0544294	0.0547247	0.0550104	0.0552811	0.0555354	0.0557729	0.0559974	0.0561979	0.0563788	0.0565381	0.0566734	0.0567843	0.0568709	0.0569322	0.0569681	0.0569783	0.0569628	0.0569227	0.0568577	0.0567686	0.0566567	0.0565217	0.0563659	0.0561912	0.055997	0.0557842	0.0555566	0.0553162	0.0550614	0.0547934	0.0545189	0.0542341	0.0539404	0.0536429	0.0533431	0.0530383	0.0527299	0.0524348	0.052119	0.0518127	0.0515113	0.0512159	0.0509234	0.0506348	0.0503547	0.0500839	0.0498177	0.0495622	0.0493177	0.0490818	0.0488551	0.0486412	0.04844	0.0482487	0.0480711	0.0479072	0.0477556	0.0476169	0.0474928	0.0473831	0.0472873	0.0472058	0.0471392	0.0470874	0.0470508	0.0470293	
900	0.0371537	0.0371595	0.0371775	0.0372077	0.03725	0.0373044	0.0373709	0.0374495	0.03754	0.0376425	0.0377567	0.0378825	0.0380165	0.0381682	0.0383276	0.0385078	0.0386847	0.0388798	0.0390803	0.0392898	0.0395077	0.0397334	0.0399663	0.0402056	0.0404505	0.0407001	0.0409535	0.0412096	0.0414675	0.0417258	0.0419834	0.042239	0.0424914	0.0427391	0.0429808	0.043215	0.0434404	0.0436555	0.043859	0.0440497	0.0442261	0.0443872	0.0445318	0.0446591	0.044768	0.0448581	0.0449286	0.0449792	0.0450098	0.0450198	0.0450099	0.0449801	0.0449307	0.0448622	0.0447753	0.0446707	0.0445494	0.0444121	0.04426	0.0440941	0.0439156	0.0437255	0.0435251	0.0433155	0.0430979	0.0428735	0.0426434	0.0424087	0.0421705	0.0419299	0.0416878	0.0414454	0.0412034	0.0409628	0.0407244	0.040489	0.0402575	0.0400304	0.0398086	0.0395926	0.0393918	0.0391803	0.0389851	0.0387979	0.0386191	0.0384491	0.0382883	0.0381371	0.0379957	0.0378645	0.0377437	0.0376336	0.0375344	0.0374463	0.0373695	0.0373042	0.0372504	0.0372084	0.0371782	0.0371599	
1000	0.0300945	0.0300994	0.0301141	0.0301387	0.0301731	0.0302173	0.0302714	0.0303352	0.0304087	0.0304918	0.0305845	0.0306866	0.0307947	0.0309183	0.0310475	0.0311936	0.0313404	0.0314952	0.0316578	0.0318275	0.0320041	0.0321871	0.0323758	0.0325795	0.0327682	0.0329704	0.0331757	0.0333832	0.0335921	0.0338013	0.03401	0.034217	0.0344213	0.0346219	0.0348176	0.0350072	0.0351896	0.0353637	0.0355284	0.0356827	0.0358254	0.0359556	0.0360726	0.0361754	0.0362634	0.0363361	0.036393	0.0364337	0.036458	0.036466	0.0364577	0.0364333	0.036393	0.0363373	0.0362667	0.0361801	0.0360832	0.0359718	0.0358484	0.0357139	0.0355691	0.035415	0.0352525	0.0350826	0.0349063	0.0347244	0.0345379	0.0343478	0.0341548	0.0339599	0.0337638	0.0335674	0.0333714	0.0331765	0.0329835	0.0327929	0.0326054	0.0324216	0.0322419	0.032067	0.0318973	0.0317333	0.0315753	0.0314238	0.0312791	0.0311415	0.0310114	0.030889	0.0307746	0.0306685	0.0305708	0.0304818	0.0304016	0.0303304	0.0302683	0.0302156	0.0301722	0.0301383	0.030114	0.0300994	
