ID	Name	Eccentricity	Perigee	MaxError	Pre_0	Pre_1	Pre_2	Pre_3
11	VANGUARD 2	0.146831	555.108	0.153391	0.0825195	0.138672	0.150391	0.152344
12	VANGUARD R/B	0.166579	556.8	0.164582	0.081543	0.14502	0.160645	0.163574
20	VANGUARD 3	0.166666	510.368	0.163193	0.0810547	0.144043	0.159668	0.162109
22	EXPLORER 7	0.0138763	485.124	0.0979777	0.0927734	0.0981445	0.0981445	0.0981445
29	TIROS 1	0.0024335	630.936	0.0968993	0.0957031	0.0961914	0.0961914	0.0961914
45	TRANSIT 2A	0.0248519	599.889	0.103146	0.0932617	0.103027	0.103027	0.103027
46	SOLRAD 1 (GREB)	0.0217544	571.49	0.101347	0.09375	0.101074	0.101563	0.101563
47	THOR ABLESTAR R/B	0.0219961	593.023	0.10212	0.0932617	0.102051	0.102051	0.102051
50	DELTA 1 R/B	0.0113709	1502.46	0.11195	0.106934	0.112305	0.112305	0.112305
51	ECHO 1 DEB (METAL OBJ)	0.0105989	1516.56	0.111572	0.106934	0.111328	0.111328	0.111328
53	ECHO 1 DEB (METAL OBJ)	0.0099633	1526.03	0.11179	0.107422	0.111816	0.111816	0.111816
58	COURIER 1B	0.0164902	966.576	0.106051	0.0991211	0.105957	0.106445	0.106445
59	THOR ABLESTAR R/B	0.0189109	924.483	0.106322	0.0981445	0.105957	0.105957	0.105957
82	SCOUT X-1 R/B	0.117586	634.219	0.140084	0.0864258	0.131348	0.138672	0.13916
85	SCOUT X-1 DEB	0.0390887	540.733	0.107096	0.0908203	0.106445	0.106934	0.106934
107	EXPLORER 11	0.054605	470.658	0.111453	0.0893555	0.109863	0.111328	0.111328
115	THOR ABLE DEB (YO)	0.0034232	594.705	0.0967555	0.0947266	0.0957031	0.0957031	0.0957031
116	TRANSIT 4A	0.0075192	865.89	0.101609	0.0986328	0.102051	0.102051	0.102051
117	SOLRAD 3/INJUN 1	0.0079915	869.12	0.101722	0.0986328	0.102051	0.102051	0.102051
118	THOR ABLESTAR R/B	0.0082869	826.079	0.101274	0.0986328	0.102051	0.102051	0.102051
119	THOR ABLESTAR DEB	0.0107602	734.866	0.100634	0.0966797	0.100586	0.100586	0.100586
120	THOR ABLESTAR DEB	0.0123976	716.184	0.100672	0.0957031	0.101074	0.101074	0.101074
121	THOR ABLESTAR DEB	0.0100598	820.058	0.1013	0.0976563	0.101563	0.101563	0.101563
122	THOR ABLESTAR DEB	0.0079147	605.378	0.0976311	0.0947266	0.0976563	0.0976563	0.0976563
123	THOR ABLESTAR DEB	0.0121416	679.561	0.100105	0.0957031	0.100586	0.100586	0.100586
124	THOR ABLESTAR DEB	0.0074931	734.386	0.0997814	0.097168	0.100098	0.100098	0.100098
125	THOR ABLESTAR DEB	0.0073225	819.835	0.100929	0.0976563	0.100586	0.100586	0.100586
126	THOR ABLESTAR DEB	0.0073301	716.428	0.0991966	0.0961914	0.0991211	0.0991211	0.0991211
127	THOR ABLESTAR DEB	0.007079	709.844	0.0993138	0.0961914	0.0991211	0.0991211	0.0991211
128	THOR ABLESTAR DEB	0.0095771	818.405	0.101521	0.097168	0.101074	0.101074	0.101074
130	THOR ABLESTAR DEB	0.0087561	832.885	0.101463	0.097168	0.100586	0.100586	0.100586
131	THOR ABLESTAR DEB	0.0086072	827.137	0.101201	0.097168	0.100586	0.100586	0.100586
132	THOR ABLESTAR DEB	0.0070551	860.451	0.10141	0.0991211	0.102051	0.102051	0.102051
133	THOR ABLESTAR DEB	0.0058545	787.172	0.099763	0.097168	0.0996094	0.0996094	0.0996094
