4861	31791	10.021	46289.6	9.99162	46289.6	2021-3-22, 12:51:29.61
7734	26861	10.021	73681.5	9.95308	73681.5	2021-3-22, 20:28:1.537
26065	35918	10.019	6429.34	9.99749	6429.33	2021-3-22, 1:47:9.335
22578	30030	10.019	3396.32	9.99267	3396.31	2021-3-22, 0:56:36.314
12270	39978	10.019	68708	9.99038	68708	2021-3-22, 19:5:7.967
31780	39605	10.019	48449.6	9.97688	48449.6	2021-3-22, 13:27:29.625
28348	37337	10.018	36887.8	9.99642	36887.8	2021-3-22, 10:14:47.775
28812	44314	10.018	41100.8	9.95318	41100.7	2021-3-22, 11:25:0.746
34629	45663	10.018	44684.4	9.94428	44684.4	2021-3-22, 12:24:44.428
1478	24778	10.017	74004	9.97542	74004	2021-3-22, 20:33:24.032
45396	47529	10.016	54560.5	9.99652	54560.5	2021-3-22, 15:9:20.523
3744	30041	10.016	12976	9.99113	12975.9	2021-3-22, 3:36:15.943
38165	41421	10.016	85757.3	9.96193	85757.3	2021-3-22, 23:49:17.309
5358	45769	10.016	74409.6	9.9135	74409.6	2021-3-22, 20:40:9.621
6167	24677	10.015	29333.9	9.93522	29333.8	2021-3-22, 8:8:53.842
20626	41224	10.014	73462.8	9.9962	73462.8	2021-3-22, 20:24:22.771
35135	37028	10.012	22633.9	9.98553	22633.8	2021-3-22, 6:17:13.795
35611	43327	10.012	82790.1	9.97812	82790.1	2021-3-22, 22:59:50.085
26070	35140	10.011	14861.2	9.99606	14861.2	2021-3-22, 4:7:41.218
26266	34911	10.011	80541	9.97968	80540.9	2021-3-22, 22:22:20.945
28055	31550	10.011	83372.5	9.92315	83372.7	2021-3-22, 23:9:32.705
10587	18794	10.01	6701.91	9.9878	6701.91	2021-3-22, 1:51:41.912
44407	46156	10.01	82790.5	9.98767	82790.5	2021-3-22, 22:59:50.508
36004	42008	10.01	77480.1	9.95693	77480.1	2021-3-22, 21:31:20.127
264	32176	10.009	67278.5	9.93023	67278.5	2021-3-22, 18:41:18.475
23087	41162	10.008	30927.9	9.99659	30927.8	2021-3-22, 8:35:27.849
6787	13566	10.008	38531.6	9.99561	38531.6	2021-3-22, 10:42:11.584
3166	34910	10.008	59153.8	9.98619	59153.8	2021-3-22, 16:25:53.752
12759	38522	10.008	31668.8	9.97692	31668.8	2021-3-22, 8:47:48.766
41851	44857	10.008	85891.3	9.95979	85891.3	2021-3-22, 23:51:31.281
19562	32315	10.008	38099.2	9.85112	38099.1	2021-3-22, 10:34:59.065
25563	28329	10.007	62018.3	9.9955	62018.3	2021-3-22, 17:13:38.339
39860	42302	10.007	40646.7	9.99065	40646.7	2021-3-22, 11:17:26.718
14443	37791	10.007	18481.6	9.98782	18481.6	2021-3-22, 5:8:1.573
5679	21473	10.007	32001.9	9.9875	32001.9	2021-3-22, 8:53:21.855
29998	42253	10.007	70050.2	9.98612	70050.2	2021-3-22, 19:27:30.239
32117	39055	10.007	34770.4	9.95638	34770.5	2021-3-22, 9:39:30.526
10874	42569	10.006	1110.28	9.99759	1110.27	2021-3-22, 0:18:30.272
7816	13923	10.006	1434.73	9.99632	1434.73	2021-3-22, 0:23:54.731
1953	28307	10.006	72259.5	9.99474	72259.5	2021-3-22, 20:4:19.469
31948	37439	10.006	30596.9	9.97613	30596.9	2021-3-22, 8:29:56.89
30503	31487	10.005	49321.5	9.99225	49321.5	2021-3-22, 13:42:1.487
34139	38303	10.005	19731.9	9.98321	19731.9	2021-3-22, 5:28:51.875
37492	82383	10.005	6488.96	9.95975	6488.96	2021-3-22, 1:48:8.958
24340	39433	10.004	28334.3	9.99861	28334.3	2021-3-22, 7:52:14.284
4519	39450	10.004	4389.36	9.99849	4389.36	2021-3-22, 1:13:9.357
23986	27679	10.004	42706.5	9.99764	42706.5	2021-3-22, 11:51:46.506
44412	45100	10.004	6246.8	9.99175	6246.79	2021-3-22, 1:44:6.788
24921	87204	10.004	76329.6	9.98597	76329.6	2021-3-22, 21:12:9.558
25419	32143	10.003	20668.3	9.99883	20668.3	2021-3-22, 5:44:28.252
20441	34819	10.003	39490.4	9.99604	39490.4	2021-3-22, 10:58:10.36
4698	33967	10.003	81773.1	9.87187	81773	2021-3-22, 22:42:52.987
34147	46481	10.002	47024.4	9.9998	47024.4	2021-3-22, 13:3:44.389
8978	23318	10.002	5929.17	9.99845	5929.16	2021-3-22, 1:38:49.162
30800	31504	10.002	40921.2	9.99565	40921.2	2021-3-22, 11:22:1.161
11511	34101	10.002	35583.4	9.98966	35583.4	2021-3-22, 9:53:3.371
22459	31985	10.002	10108.7	9.96217	10108.7	2021-3-22, 2:48:28.735
36091	47117	10.001	10444.6	9.99908	10444.6	2021-3-22, 2:54:4.57
13067	17566	10.001	27863.1	9.99856	27863.1	2021-3-22, 7:44:23.137
29955	42416	10.001	47696.8	9.99819	47696.8	2021-3-22, 13:14:56.805
23410	30140	10.001	44120.8	9.99769	44120.8	2021-3-22, 12:15:20.835
40074	44621	10.001	47917.6	9.99752	47917.6	2021-3-22, 13:18:37.566
35211	42248	10.001	55861	9.98574	55861	2021-3-22, 15:31:1.022
33683	85011	10.001	3084.58	9.98513	3084.58	2021-3-22, 0:51:24.577
