ID	Name	Eccentricity	Perigee	MaxError	Pre_0	Pre_1	Pre_2	Pre_3
11	VANGUARD 2	0.146831	555.108	0.345127	0.186035	0.311523	0.338867	0.342773
12	VANGUARD R/B	0.166579	556.8	0.370303	0.183594	0.32666	0.361328	0.367188
20	VANGUARD 3	0.166666	510.368	0.367184	0.182129	0.32373	0.358398	0.364746
22	EXPLORER 7	0.0138763	485.124	0.220448	0.208496	0.220703	0.220703	0.220703
29	TIROS 1	0.0024335	630.936	0.218023	0.215332	0.217773	0.217773	0.217773
45	TRANSIT 2A	0.0248519	599.889	0.232077	0.208984	0.231445	0.231934	0.231934
46	SOLRAD 1 (GREB)	0.0217544	571.49	0.228029	0.210449	0.228516	0.229004	0.229004
47	THOR ABLESTAR R/B	0.0219961	593.023	0.229768	0.209961	0.229004	0.229492	0.229492
50	DELTA 1 R/B	0.0113709	1502.46	0.251886	0.239746	0.250977	0.251465	0.251465
51	ECHO 1 DEB (METAL OBJ)	0.0105989	1516.56	0.251035	0.240234	0.250977	0.250977	0.250977
53	ECHO 1 DEB (METAL OBJ)	0.0099633	1526.03	0.251527	0.241699	0.251465	0.251953	0.251953
58	COURIER 1B	0.0164902	966.576	0.238614	0.223145	0.237305	0.237793	0.237793
59	THOR ABLESTAR R/B	0.0189109	924.483	0.239224	0.220703	0.238281	0.238281	0.238281
82	SCOUT X-1 R/B	0.117586	634.219	0.315188	0.193848	0.29541	0.312012	0.314453
85	SCOUT X-1 DEB	0.0390887	540.733	0.240965	0.205566	0.23877	0.240723	0.240723
107	EXPLORER 11	0.054605	470.658	0.250768	0.200684	0.247559	0.249512	0.25
115	THOR ABLE DEB (YO)	0.0034232	594.705	0.217699	0.213867	0.217285	0.217285	0.217285
116	TRANSIT 4A	0.0075192	865.89	0.228619	0.22168	0.228516	0.228516	0.228516
117	SOLRAD 3/INJUN 1	0.0079915	869.12	0.228872	0.222168	0.228516	0.228516	0.228516
118	THOR ABLESTAR R/B	0.0082869	826.079	0.227866	0.220215	0.227539	0.227539	0.227539
119	THOR ABLESTAR DEB	0.0107602	734.866	0.226424	0.216309	0.226074	0.226074	0.226074
120	THOR ABLESTAR DEB	0.0123976	716.184	0.226511	0.21582	0.226563	0.227051	0.227051
121	THOR ABLESTAR DEB	0.0100598	820.058	0.227925	0.219238	0.228516	0.229004	0.229004
122	THOR ABLESTAR DEB	0.0079147	605.378	0.219669	0.213379	0.220215	0.220215	0.220215
123	THOR ABLESTAR DEB	0.0121416	679.561	0.225236	0.214355	0.225586	0.225586	0.225586
124	THOR ABLESTAR DEB	0.0074931	734.386	0.224506	0.217773	0.224609	0.224609	0.224609
125	THOR ABLESTAR DEB	0.0073225	819.835	0.227089	0.220215	0.227051	0.227051	0.227051
126	THOR ABLESTAR DEB	0.0073301	716.428	0.223191	0.216797	0.223633	0.223633	0.223633
127	THOR ABLESTAR DEB	0.007079	709.844	0.223454	0.216309	0.222656	0.222656	0.222656
128	THOR ABLESTAR DEB	0.0095771	818.405	0.22842	0.219727	0.228516	0.229004	0.229004
130	THOR ABLESTAR DEB	0.0087561	832.885	0.22829	0.219727	0.228027	0.228027	0.228027
131	THOR ABLESTAR DEB	0.0086072	827.137	0.2277	0.220215	0.228027	0.228027	0.228027
132	THOR ABLESTAR DEB	0.0070551	860.451	0.228171	0.222168	0.228516	0.228516	0.228516
133	THOR ABLESTAR DEB	0.0058545	787.172	0.224465	0.219727	0.225586	0.225586	0.225586
134	THOR ABLESTAR DEB	0.0076894	847.087	0.228151	0.220703	0.227539	0.228027	0.228027
136	THOR ABLESTAR DEB	0.0060193	734.425	0.223179	0.218262	0.223633	0.223633	0.223633
138	THOR ABLESTAR DEB	0.0030928	863.433	0.225466	0.222168	0.225098	0.225098	0.225098
141	THOR ABLESTAR DEB	0.0059731	894.08	0.227997	0.222168	0.227539	0.227539	0.227539
144	THOR ABLESTAR DEB	0.0037321	899.309	0.227121	0.222656	0.226074	0.226074	0.226074
145	THOR ABLESTAR DEB	0.0070816	835.871	0.226354	0.221191	0.227539	0.227539	0.227539
147	THOR ABLESTAR DEB	0.0060477	782.838	0.224668	0.219238	0.224609	0.224609	0.224609
148	THOR ABLESTAR DEB	0.0157722	757.888	0.230474	0.216309	0.230469	0.230469	0.230469
150	THOR ABLESTAR DEB	0.007047	906.012	0.228649	0.223145	0.229492	0.229492	0.229492
152	THOR ABLESTAR DEB	0.0147325	753.553	0.230018	0.216309	0.229492	0.22998	0.22998
154	THOR ABLESTAR DEB	0.0090759	810.707	0.227066	0.219727	0.227539	0.228027	0.228027
155	THOR ABLESTAR DEB	0.0053518	720.362	0.221909	0.217773	0.222656	0.222656	0.222656
158	THOR ABLESTAR DEB	0.0614844	921.355	0.271936	0.212402	0.267578	0.272461	0.272461
159	THOR ABLESTAR DEB	0.0367957	971.716	0.253831	0.218262	0.251953	0.253418	0.253418
162	TIROS 3	0.0044707	714.282	0.222065	0.217773	0.22168	0.22168	0.22168
167	DELTA 1 DEB (YO)	0.0092336	750.577	0.226265	0.218262	0.226563	0.226563	0.226563
172	THOR ABLESTAR DEB	0.013882	939.928	0.235265	0.222168	0.235352	0.235352	0.235352
177	THOR ABLESTAR DEB	0.01208	758.38	0.22822	0.216797	0.228027	0.228027	0.228027
178	THOR ABLESTAR DEB	0.0086624	855.454	0.22809	0.220703	0.228516	0.228516	0.228516
202	TRANSIT 4B	0.0100856	951.543	0.233682	0.224121	0.23291	0.23291	0.23291
204	THOR ABLESTAR R/B	0.0098549	948.47	0.233435	0.222656	0.231934	0.231934	0.231934
205	TRAAC	0.0102466	954.393	0.233502	0.223633	0.23291	0.23291	0.23291
210	THOR ABLESTAR DEB	0.003974	911.584	0.227527	0.223633	0.227539	0.227539	0.227539
223	THOR ABLESTAR DEB	0.0074379	877.366	0.228041	0.222168	0.229004	0.229004	0.229004
224	THOR ABLESTAR DEB	0.0073263	811.097	0.226054	0.220215	0.227051	0.227051	0.227051
225	THOR ABLESTAR DEB	0.0113145	703.711	0.225707	0.21582	0.226074	0.226074	0.226074
226	TIROS 4	0.0078633	684.762	0.222824	0.21582	0.222656	0.222656	0.222656
227	DELTA 1 DEB (YO)	0.0131695	671.079	0.22657	0.213867	0.225586	0.226074	0.226074
228	DELTA 1 DEB (YO)	0.0014519	552.866	0.215003	0.213379	0.214844	0.214844	0.214844
230	THOR ABLESTAR DEB	0.0087526	841.851	0.228618	0.221191	0.229004	0.229004	0.229004
