# BREEZE-M R/B (41582), eccentricity: 0.80, perigee(km): 1368.97
197	482.59	386.99	95.60
198	492.64	395.04	97.60
199	502.20	402.71	99.50
200	511.30	410.00	101.30
201	519.91	416.91	103.01
202	528.06	423.43	104.63
203	535.72	429.57	106.15
204	542.92	435.34	107.58
205	549.63	440.72	108.92
206	555.88	445.72	110.16
207	561.65	450.35	111.30
208	566.94	454.59	112.35
209	571.76	458.45	113.31
210	576.10	461.93	114.18
211	579.98	465.03	114.94
212	583.37	467.76	115.62
213	586.29	470.10	116.20
214	588.74	472.06	116.69
215	590.72	473.64	117.08
216	592.22	474.84	117.38
217	593.24	475.66	117.58
218	593.79	476.10	117.69
219	593.87	476.16	117.71
220	593.47	475.85	117.63
221	592.60	475.15	117.46
222	591.26	474.07	117.19
223	589.44	472.61	116.83
224	587.15	470.77	116.38
225	584.38	468.56	115.83
226	581.14	465.96	115.19
227	577.42	462.98	114.45
228	573.23	459.62	113.62
229	568.57	455.88	112.69
230	563.43	451.77	111.67
231	557.82	447.27	110.56
232	551.73	442.39	109.35
233	545.17	437.13	108.05
234	538.14	431.49	106.65
235	530.63	425.47	105.16
236	522.64	419.07	103.57
237	514.18	412.29	101.89
238	505.25	405.13	100.12
239	495.84	397.59	98.25
240	485.95	389.67	96.29
241	475.59	381.36	94.24
242	464.76	372.68	92.08
243	453.45	363.61	89.84
244	441.66	354.17	87.50
245	429.40	344.34	85.07
246	416.67	334.13	82.54
247	403.46	323.54	79.92
248	389.77	312.56	77.21
249	375.61	301.21	74.40
250	360.97	289.47	71.49
251	345.85	277.35	68.50
252	330.26	264.85	65.41
253	314.19	251.97	62.22
254	297.64	238.70	58.94
255	280.62	225.06	55.57
256	263.12	211.02	52.10
257	245.14	196.61	48.53
258	226.69	181.81	44.88
259	207.76	166.63	41.13
260	188.35	151.06	37.28
261	168.46	135.12	33.34
262	148.09	118.78	29.31
263	127.25	102.07	25.18
264	105.92	84.96	20.96
265	84.12	67.48	16.65
266	61.84	49.61	12.24
267	39.08	31.35	7.73
268	15.84	12.71	3.13
269	8.12	7.00	1.26
270	32.39	27.92	5.03
271	56.19	48.43	8.72
272	79.51	68.53	12.33
273	102.34	88.22	15.86
274	124.70	107.50	19.32
275	146.57	126.36	22.71
276	167.96	144.80	26.01
277	188.87	162.83	29.24
278	209.30	180.45	32.40
279	229.24	197.65	35.48
280	248.71	214.44	38.48
281	267.68	230.81	41.40
282	286.18	246.77	44.25
283	304.19	262.31	47.02
284	321.72	277.43	49.71
285	338.76	292.14	52.33
286	355.32	306.43	54.87
287	371.39	320.31	57.33
288	386.98	333.76	59.72
289	402.08	346.80	62.03
290	416.69	359.42	64.27
291	430.82	371.62	66.42
292	444.46	383.40	68.51
293	457.61	394.76	70.51
294	470.28	405.70	72.44
295	482.45	416.22	74.29
296	494.14	426.32	76.06
297	505.33	435.99	77.76
298	516.04	445.25	79.38
299	526.26	454.09	80.93
300	535.98	462.50	82.40
301	545.22	470.49	83.79
302	553.97	478.05	85.11
303	562.22	485.20	86.34
304	569.98	491.92	87.51
305	577.25	498.21	88.59
306	584.03	504.08	89.60
307	590.31	509.53	90.53
308	596.10	514.54	91.39
309	601.39	519.13	92.17
310	606.19	523.30	92.87
311	610.49	527.04	93.50
312	614.30	530.35	94.04
313	617.61	533.23	94.52
314	620.42	535.68	94.91
315	622.73	537.70	95.23
316	624.55	539.30	95.48
317	625.87	540.46	95.64
318	626.69	541.19	95.73
319	627.00	541.49	95.74
320	626.82	541.36	95.68
321	626.14	540.80	95.54
322	624.96	539.80	95.32
323	623.27	538.37	95.03
324	621.08	536.50	94.66
325	618.39	534.21	94.21
326	615.19	531.47	93.69
327	611.49	528.30	93.09
328	607.29	524.69	92.41
329	602.58	520.65	91.66
330	597.36	516.16	90.83
331	591.64	511.24	89.93
332	585.40	505.88	88.94
333	578.66	500.09	87.88
334	571.41	493.85	86.75
335	563.66	487.17	85.54
336	555.39	480.04	84.25
337	546.61	472.48	82.88
338	537.32	464.47	81.44
339	527.51	456.02	79.92
340	517.20	447.13	78.32
341	506.37	437.79	76.65
342	495.02	428.00	74.90
343	483.16	417.77	73.08
344	470.79	407.09	71.17
345	457.90	395.97	69.20
346	444.49	384.39	67.14
347	430.56	372.37	65.01
348	416.12	359.90	62.80
349	401.15	346.97	60.52
350	385.67	333.60	58.15
351	369.66	319.77	55.72
352	353.13	305.49	53.20
353	336.08	290.76	50.61
354	318.51	275.57	47.94
355	300.41	259.93	45.20
356	281.79	243.83	42.38
357	262.64	227.27	39.48
358	242.96	210.26	36.50
359	222.76	192.78	33.45
360	202.03	174.85	30.33
361	180.77	156.46	27.12
362	158.98	137.61	23.84
363	136.66	118.29	20.48
364	113.80	98.52	17.05
365	90.42	78.28	13.54
366	66.49	57.57	9.95
367	42.04	36.40	6.29
368	17.05	14.76	2.55
369	9.51	9.10	0.57
370	37.99	36.36	2.26
371	65.93	63.10	3.92
372	93.32	89.33	5.55
373	120.18	115.03	7.14
374	146.50	140.23	8.70
375	172.27	164.90	10.23
376	197.51	189.06	11.72
377	222.19	212.69	13.17
378	246.34	235.80	14.59
379	269.93	258.39	15.98
380	292.98	280.46	17.33
381	315.48	302.01	18.64
382	337.43	323.03	19.93
383	358.83	343.52	21.17
384	379.68	363.48	22.39
385	399.97	382.92	23.56
386	419.71	401.82	24.71
387	438.90	420.20	25.82
388	457.53	438.04	26.89
389	475.60	455.35	27.93
390	493.11	472.13	28.94
391	510.07	488.37	29.91
392	526.46	504.08	30.85
393	542.29	519.24	31.75
394	557.56	533.87	32.62
395	572.26	547.96	33.45
396	586.40	561.51	34.25
397	599.97	574.51	35.02
398	612.97	586.97	35.75
399	625.40	598.89	36.44
400	637.26	610.26	37.11
401	648.55	621.08	37.73
402	659.27	631.35	38.32
403	669.41	641.08	38.88
404	678.97	650.25	39.41
405	687.96	658.87	39.89
406	696.37	666.94	40.35
407	704.20	674.45	40.77
408	711.44	681.40	41.15
409	718.11	687.80	41.50
410	724.18	693.63	41.82
411	729.68	698.91	42.10
412	734.58	703.62	42.35
413	738.90	707.77	42.56
414	742.63	711.35	42.74
415	745.76	714.37	42.88
416	748.31	716.82	42.99
417	750.25	718.70	43.07
418	751.61	720.01	43.11
419	752.36	720.75	43.12
420	752.52	720.92	43.09
421	752.07	720.50	43.02
422	751.02	719.51	42.93
423	749.37	717.95	42.79
424	747.11	715.80	42.63
425	744.25	713.07	42.43
426	740.77	709.76	42.19
427	736.69	705.86	41.92
428	731.99	701.38	41.62
429	726.69	696.31	41.28
430	720.76	690.64	40.90
431	714.22	684.39	40.49
432	707.06	677.54	40.05
433	699.28	670.10	39.58
434	690.87	662.06	39.06
435	681.84	653.43	38.52
436	672.19	644.19	37.94
437	661.91	634.35	37.32
438	651.00	623.91	36.67
439	639.46	612.86	35.99
440	627.28	601.21	35.27
441	614.47	588.94	34.52
442	601.02	576.06	33.73
443	586.93	562.58	32.91
444	572.21	548.47	32.05
445	556.83	533.75	31.16
446	540.79	518.39	30.23
447	524.13	502.43	29.27
448	506.82	485.84	28.28
449	488.85	468.63	27.25
450	470.24	450.80	26.19
451	450.96	432.33	25.09
452	431.03	413.24	23.96
453	410.45	393.51	22.79
454	389.20	373.14	21.59
455	367.28	352.14	20.35
456	344.70	330.50	19.08
457	321.46	308.22	17.78
458	297.54	285.29	16.44
459	272.95	261.72	15.06
460	247.68	237.50	13.66
461	221.74	212.63	12.21
462	195.12	187.11	10.74
463	167.82	160.93	9.22
464	139.83	134.10	7.68
465	111.16	106.60	6.10
466	81.79	78.44	4.48
467	51.74	49.62	2.83
468	20.99	20.13	1.15
469	13.38	15.82	3.67
470	53.47	63.20	14.65
471	92.85	109.75	25.40
472	131.54	155.46	35.93
473	169.51	200.33	46.23
474	206.78	244.36	56.32
475	243.34	287.53	66.18
476	279.18	329.86	75.81
477	314.31	371.33	85.23
478	348.72	411.94	94.42
479	382.40	451.70	103.39
480	415.36	490.58	112.13
481	447.59	528.61	120.65
482	479.09	565.76	128.95
483	509.86	602.04	137.02
484	539.89	637.44	144.88
485	569.18	671.96	152.50
486	597.72	705.59	159.91
487	625.53	738.34	167.09
488	652.58	770.20	174.05
489	678.88	801.16	180.79
490	704.42	831.23	187.30
491	729.20	860.39	193.59
492	753.23	888.65	199.65
493	776.48	915.99	205.50
494	798.97	942.43	211.11
495	820.69	967.95	216.51
496	841.63	992.55	221.68
497	861.79	1016.22	226.63
498	881.17	1038.97	231.36
499	899.76	1060.78	235.86
500	917.57	1081.66	240.14
501	934.58	1101.60	244.20
502	950.80	1120.59	248.03
503	966.21	1138.64	251.64
504	980.82	1155.73	255.03
505	994.62	1171.87	258.19
506	1007.62	1187.05	261.13
507	1019.79	1201.26	263.85
508	1031.15	1214.50	266.35
509	1041.68	1226.77	268.62
510	1051.39	1238.06	270.66
511	1060.26	1248.37	272.49
512	1068.30	1257.69	274.09
513	1075.50	1266.02	275.47
514	1081.86	1273.36	276.62
515	1087.37	1279.69	277.55
516	1092.02	1285.02	278.26
517	1095.82	1289.34	278.74
518	1098.76	1292.64	279.00
519	1100.84	1294.92	279.04
520	1102.04	1296.18	278.86
521	1102.37	1296.41	278.45
522	1101.82	1295.60	277.82
523	1100.38	1293.75	276.96
524	1098.06	1290.86	275.88
525	1094.85	1286.92	274.58
526	1090.73	1281.92	273.06
527	1085.72	1275.86	271.31
528	1079.79	1268.73	269.34
529	1072.96	1260.53	267.14
530	1065.20	1251.26	264.72
531	1056.52	1240.90	262.08
532	1046.92	1229.45	259.22
533	1036.38	1216.91	256.13
534	1024.90	1203.27	252.82
535	1012.47	1188.52	249.29
536	999.10	1172.66	245.53
537	984.77	1155.68	241.55
538	969.48	1137.58	237.34
539	953.22	1118.34	232.92
540	935.99	1097.97	228.27
541	917.78	1076.46	223.39
542	898.59	1053.80	218.30
543	878.40	1029.98	212.98
544	857.22	1004.99	207.43
545	835.04	978.84	201.66
546	811.84	951.51	195.68
547	787.64	923.00	189.46
548	762.40	893.30	183.03
549	736.14	862.40	176.37
550	708.85	830.30	169.48
551	680.51	796.98	162.38
552	651.13	762.45	155.05
553	620.68	726.69	147.50
554	589.18	689.70	139.72
555	556.60	651.46	131.72
556	522.95	611.97	123.50
557	488.21	571.23	115.05
558	452.38	529.22	106.39
559	415.45	485.94	97.49
560	377.41	441.38	88.38
561	338.26	395.53	79.04
562	297.99	348.37	69.48
563	256.58	299.91	59.70
564	214.03	250.14	49.69
565	170.34	199.04	39.46
566	125.49	146.61	29.01
567	79.47	92.83	18.33
568	32.28	37.70	7.43
569	28.40	73.09	57.70
570	113.70	292.45	230.33
571	197.81	508.49	399.59
572	280.73	721.19	565.47
573	362.43	930.52	727.96
574	442.91	1136.44	887.05
575	522.17	1338.93	1042.74
576	600.19	1537.95	1195.01
577	676.96	1733.47	1343.87
578	752.47	1925.45	1489.29
579	826.71	2113.88	1631.28
580	899.67	2298.72	1769.83
581	971.34	2479.92	1904.93
582	1041.70	2657.48	2036.57
583	1110.75	2831.34	2164.75
584	1178.47	3001.48	2289.46
585	1244.85	3167.87	2410.69
586	1309.88	3330.48	2528.44
587	1373.55	3489.27	2642.71
588	1435.84	3644.21	2753.48
589	1496.74	3795.27	2860.75
590	1556.24	3942.42	2964.52
591	1614.33	4085.62	3064.78
592	1670.96	4224.84	3161.52
593	1726.17	4360.05	3254.75
594	1779.92	4491.21	3344.45
595	1832.21	4618.30	3430.62
596	1883.00	4741.28	3513.26
597	1932.30	4860.11	3592.37
598	1980.08	4974.76	3667.93
599	2026.33	5085.20	3739.95
600	2071.03	5191.40	3808.42
601	2114.17	5293.32	3873.34
602	2155.72	5390.92	3934.70
603	2195.68	5484.17	3992.51
604	2234.02	5573.04	4046.75
605	2270.73	5657.49	4097.44
606	2305.80	5737.49	4144.55
607	2339.19	5813.00	4188.10
608	2370.89	5883.98	4228.08
609	2400.89	5950.40	4264.48
610	2429.17	6012.22	4297.31
611	2455.69	6069.41	4326.57
612	2480.45	6121.93	4352.25
613	2503.43	6169.74	4374.34
614	2524.59	6212.80	4392.86
615	2543.92	6251.08	4407.80
616	2561.40	6284.54	4419.16
617	2577.01	6313.14	4426.93
618	2590.71	6336.83	4431.12
619	2602.50	6355.59	4431.73
620	2612.33	6369.37	4428.76
621	2620.19	6378.12	4422.20
622	2626.05	6381.82	4412.07
623	2629.89	6380.41	4398.35
624	2631.67	6373.86	4381.05
625	2631.37	6362.12	4360.16
626	2628.96	6345.15	4335.70
627	2624.42	6322.90	4307.67
628	2617.71	6295.34	4276.05
629	2608.80	6262.41	4240.86
