ID	Name	Eccentricity	Perigee	MaxError	Pre_0	Pre_1	Pre_2	Pre_3
11	VANGUARD 2	0.146831	555.108	0.0552214	0.0297852	0.050293	0.0537109	0.0546875
12	VANGUARD R/B	0.166579	556.8	0.0592498	0.0292969	0.0517578	0.0581055	0.059082
20	VANGUARD 3	0.166666	510.368	0.0587508	0.0292969	0.0522461	0.0571289	0.0585938
22	EXPLORER 7	0.0138763	485.124	0.0352721	0.0336914	0.0351563	0.0356445	0.0356445
29	TIROS 1	0.0024335	630.936	0.0348839	0.0351563	0.0356445	0.0356445	0.0356445
45	TRANSIT 2A	0.0248519	599.889	0.0371326	0.0336914	0.0371094	0.0371094	0.0371094
46	SOLRAD 1 (GREB)	0.0217544	571.49	0.0364855	0.0332031	0.0361328	0.0361328	0.0361328
47	THOR ABLESTAR R/B	0.0219961	593.023	0.0367637	0.0341797	0.0371094	0.0371094	0.0371094
50	DELTA 1 R/B	0.0113709	1502.46	0.040302	0.0390625	0.0410156	0.0410156	0.0410156
51	ECHO 1 DEB (METAL OBJ)	0.0105989	1516.56	0.0401659	0.0385742	0.0400391	0.0400391	0.0400391
53	ECHO 1 DEB (METAL OBJ)	0.0099633	1526.03	0.0402449	0.0390625	0.0405273	0.0405273	0.0405273
58	COURIER 1B	0.0164902	966.576	0.038179	0.0356445	0.0380859	0.0380859	0.0380859
59	THOR ABLESTAR R/B	0.0189109	924.483	0.0382766	0.0351563	0.0375977	0.0375977	0.0375977
82	SCOUT X-1 R/B	0.117586	634.219	0.0504312	0.0307617	0.0473633	0.0498047	0.050293
85	SCOUT X-1 DEB	0.0390887	540.733	0.0385551	0.0327148	0.0380859	0.0385742	0.0385742
107	EXPLORER 11	0.054605	470.658	0.0401237	0.0327148	0.0395508	0.0400391	0.0400391
115	THOR ABLE DEB (YO)	0.0034232	594.705	0.0348323	0.034668	0.034668	0.034668	0.034668
116	TRANSIT 4A	0.0075192	865.89	0.0365793	0.0351563	0.0361328	0.0361328	0.0361328
117	SOLRAD 3/INJUN 1	0.0079915	869.12	0.0366198	0.0351563	0.0361328	0.0361328	0.0361328
118	THOR ABLESTAR R/B	0.0082869	826.079	0.0364588	0.0356445	0.0371094	0.0371094	0.0371094
119	THOR ABLESTAR DEB	0.0107602	734.866	0.0362286	0.034668	0.0361328	0.0361328	0.0361328
120	THOR ABLESTAR DEB	0.0123976	716.184	0.0362425	0.034668	0.0361328	0.0361328	0.0361328
121	THOR ABLESTAR DEB	0.0100598	820.058	0.0364684	0.034668	0.0361328	0.0361328	0.0361328
122	THOR ABLESTAR DEB	0.0079147	605.378	0.0351472	0.0341797	0.034668	0.034668	0.034668
123	THOR ABLESTAR DEB	0.0121416	679.561	0.0360381	0.034668	0.0361328	0.0361328	0.0361328
124	THOR ABLESTAR DEB	0.0074931	734.386	0.0359216	0.034668	0.0356445	0.0356445	0.0356445
125	THOR ABLESTAR DEB	0.0073225	819.835	0.0363344	0.034668	0.0356445	0.0356445	0.0356445
126	THOR ABLESTAR DEB	0.0073301	716.428	0.0357114	0.0351563	0.0361328	0.0361328	0.0361328
127	THOR ABLESTAR DEB	0.007079	709.844	0.0357531	0.0351563	0.0361328	0.0361328	0.0361328
128	THOR ABLESTAR DEB	0.0095771	818.405	0.0365474	0.0351563	0.0366211	0.0366211	0.0366211
130	THOR ABLESTAR DEB	0.0087561	832.885	0.0365266	0.0351563	0.0366211	0.0366211	0.0366211
131	THOR ABLESTAR DEB	0.0086072	827.137	0.0364322	0.0351563	0.0366211	0.0366211	0.0366211
132	THOR ABLESTAR DEB	0.0070551	860.451	0.0365082	0.0356445	0.0366211	0.0366211	0.0366211
133	THOR ABLESTAR DEB	0.0058545	787.172	0.0359148	0.0356445	0.0361328	0.0361328	0.0361328
134	THOR ABLESTAR DEB	0.0076894	847.087	0.0365045	0.0351563	0.0361328	0.0361328	0.0361328
136	THOR ABLESTAR DEB	0.0060193	734.425	0.0357093	0.034668	0.0356445	0.0356445	0.0356445
138	THOR ABLESTAR DEB	0.0030928	863.433	0.0360747	0.0351563	0.0356445	0.0356445	0.0356445
141	THOR ABLESTAR DEB	0.0059731	894.08	0.03648	0.0361328	0.0366211	0.0366211	0.0366211
144	THOR ABLESTAR DEB	0.0037321	899.309	0.0363396	0.0356445	0.0361328	0.0361328	0.0361328
