# TITAN 3C TRANSTAGE DEB (43453), e: 0.0991889, p: 29907.5, a: 37898.4
# FREGAT DEB (45635), e: 0.199661, p: 474.246, a: 3893.18
# DELTA 2 R/B (40060), e: 0.306813, p: 2379.3, a: 10131.6
# ATLAS 5 CENTAUR DEB (44008), e: 0.397373, p: 10702.9, a: 33229.3
# ATLAS 5 CENTAUR DEB (43955), e: 0.499773, p: 7237.65, a: 34444.5
# FALCON 9 R/B (44869), e: 0.60021, p: 280.274, a: 20273
# BREEZE-M DEB (TANK) (40260), e: 0.699996, p: 955.296, a: 35177.3
# BREEZE-M R/B (41582), e: 0.801434, p: 1368.97, a: 63905.1
# MMS 1 (40482), e: 0.862811, p: 6958.97, a: 174719
Index	 0.1	 0.2	 0.3	 0.4	 0.5	 0.6	 0.7	 0.8	 0.9
56	1.03658	0.7321	0.416876	1.26846	1.23819	0.0596058	0.476473	0.324081	0.721384	56
57	1.0363	0.73086	0.430712	1.26077	1.23892	0.0707211	0.478022	0.323062	0.72437	57
58	1.03621	0.729601	0.444121	1.26896	1.23963	0.0820903	0.479574	0.322104	0.727357	58
59	1.0363	0.728322	0.456862	1.2693	1.24034	0.0935707	0.481128	0.321207	0.730346	59
60	1.03623	0.727023	0.468984	1.26959	1.24104	0.105759	0.482684	0.320016	0.733336	60
61	1.03594	0.725704	0.480705	1.2701	1.24172	0.118204	0.484242	0.319005	0.736327	61
62	1.03585	0.72462	0.491902	1.2707	1.24239	0.130719	0.485803	0.317995	0.73932	62
63	1.03595	0.7236	0.502422	1.27139	1.24305	0.144127	0.487366	0.316987	0.742314	63
64	1.03568	0.721618	0.512475	1.27218	1.24371	0.157799	0.488931	0.316037	0.745308	64
65	1.0356	0.720213	0.52209	1.27306	1.24435	0.171504	0.486016	0.314977	0.748304	65
66	1.03551	0.718784	0.531296	1.27404	1.24498	0.186306	0.487451	0.313975	0.751135	66
67	1.03561	0.717332	0.540117	1.27512	1.24559	0.201387	0.488979	0.312974	0.754089	67
68	1.03535	0.715856	0.548576	1.27632	1.2462	0.216825	0.490509	0.311976	0.757086	68
69	1.03527	0.714622	0.556695	1.27762	1.2468	0.232967	0.492041	0.311034	0.760084	69
70	1.03538	0.713453	0.564494	1.27904	1.24739	0.249592	0.493575	0.310148	0.763083	70
71	1.03532	0.71128	0.571991	1.28058	1.24797	0.266713	0.49511	0.308995	0.766081	71
72	1.03504	0.709704	0.579202	1.28224	1.24853	0.284663	0.496649	0.308005	0.769081	72
73	1.03497	0.708101	0.586143	1.28404	1.24909	0.302584	0.498189	0.307018	0.77208	73
74	1.03507	0.70647	0.592829	1.28597	1.24565	0.322269	0.499731	0.306033	0.77508	74
75	1.03482	0.704812	0.599273	1.28803	1.24617	0.342341	0.501275	0.305101	0.77808	75
76	1.03475	0.7034	0.605488	1.29029	1.24687	0.362385	0.502821	0.30407	0.781079	76
77	1.03486	0.702052	0.611484	1.29269	1.25122	0.384507	0.504369	0.303091	0.784079	77
78	1.0348	0.700309	0.617274	1.29521	1.25173	0.407095	0.505919	0.302116	0.787079	78
79	1.03454	0.697887	0.622866	1.29789	1.25223	0.429677	0.50747	0.301142	0.790299	79
80	1.03447	0.696079	0.627744	1.30075	1.25272	0.454703	0.509024	0.300171	0.793299	80
81	1.03458	0.69424	0.632963	1.30378	1.25321	0.480308	0.51058	0.299251	0.796298	81
82	1.03434	0.692367	0.638012	1.307	1.25368	0.505957	0.512137	0.298237	0.799297	82
83	1.03427	0.690461	0.642898	1.31042	1.25414	0.534485	0.513696	0.297274	0.802294	83
84	1.03421	0.688804	0.647907	1.31399	1.2546	0.56375	0.515258	0.296313	0.805292	84
85	1.03432	0.687207	0.652776	1.31784	1.25504	0.593158	0.516821	0.295355	0.808288	85
86	1.03408	0.684532	0.657225	1.32191	1.25548	0.625964	0.518385	0.294445	0.811283	86
87	1.03402	0.682483	0.661537	1.32621	1.25591	0.659736	0.519952	0.293585	0.814277	87
88	1.03414	0.680395	0.665719	1.33077	1.25633	0.694791	0.52152	0.292496	0.817088	88
89	1.0341	0.678269	0.669776	1.33559	1.25675	0.732172	0.52309	0.291549	0.820031	89
90	1.03384	0.676102	0.673714	1.34069	1.25715	0.771338	0.524662	0.290604	0.823021	90
91	1.03379	0.674184	0.677537	1.34608	1.25755	0.812427	0.526235	0.289662	0.826008	91
92	1.03391	0.67232	0.681249	1.35178	1.25794	0.856418	0.52781	0.288766	0.828994	92
93	1.03367	0.669352	0.684855	1.3578	1.25832	0.90123	0.529387	0.287786	0.831978	93
94	1.03362	0.667014	0.68836	1.36417	1.2587	0.951577	0.530965	0.286853	0.834961	94
95	1.03357	0.664631	0.691766	1.37091	1.25907	1.00412	0.532545	0.285922	0.837941	95
96	1.03369	0.662201	0.695078	1.37701	1.25512	1.05804	0.534126	0.284995	0.840919	96
97	1.03346	0.659723	0.698299	1.38561	1.25566	1.11879	0.535709	0.284111	0.843895	97
98	1.03341	0.657195	0.701432	1.39358	1.26013	1.18266	0.537293	0.283272	0.846869	98
99	1.03353	0.654909	0.704481	1.40203	1.26047	1.2488	0.538879	0.282229	0.84984	99
100	1.0335	0.65267	0.707448	1.41102	1.2608	1.3236	0.540466	0.281314	0.852808	100
101	1.03326	0.649301	0.710336	1.41853	1.26113	1.40294	0.542055	0.280401	0.856014	101
102	1.03321	0.646561	0.713148	1.43058	1.26145	1.48602	0.543645	0.279491	0.858977	102
103	1.03334	0.643764	0.715206	1.44129	1.26176	1.58042	0.545236	0.278624	0.861938	103
104	1.03312	0.640908	0.717868	1.45267	1.26207	1.68167	0.546829	0.277798	0.864895	104
105	1.03308	0.637992	0.720462	1.46479	1.26237	1.78916	0.548423	0.276781	0.867849	105
106	1.03303	0.635308	0.722989	1.4777	1.26266	1.91214	0.550018	0.275884	0.8708	106
107	1.03316	0.632658	0.725802	1.49146	1.26295	2.04591	0.551615	0.27499	0.873747	107
108	1.03294	0.628864	0.728561	1.5062	1.26324	2.19295	0.553213	0.2741	0.876691	108
109	1.0329	0.625688	0.730906	1.52193	1.26352	2.35805	0.554812	0.273249	0.879631	109
