ID	Name	Eccentricity	Perigee	MaxError	Pre_0	Pre_1	Pre_2	Pre_3
11	VANGUARD 2	0.146831	555.108	1.38046	0.745605	1.24854	1.354	1.37207
12	VANGUARD R/B	0.166579	556.8	1.48108	0.733398	1.30371	1.44238	1.46875
20	VANGUARD 3	0.166666	510.368	1.46867	0.728516	1.29492	1.43311	1.45947
22	EXPLORER 7	0.0138763	485.124	0.881775	0.834961	0.882324	0.883301	0.883301
29	TIROS 1	0.0024335	630.936	0.872076	0.862793	0.871094	0.871094	0.871094
45	TRANSIT 2A	0.0248519	599.889	0.928289	0.839844	0.925293	0.927734	0.928223
46	SOLRAD 1 (GREB)	0.0217544	571.49	0.912101	0.839844	0.914063	0.916016	0.916016
47	THOR ABLESTAR R/B	0.0219961	593.023	0.919057	0.841797	0.91748	0.919434	0.919434
50	DELTA 1 R/B	0.0113709	1502.46	1.00752	0.960938	1.00586	1.00635	1.00635
51	ECHO 1 DEB (METAL OBJ)	0.0105989	1516.56	1.00412	0.963379	1.00488	1.00586	1.00586
53	ECHO 1 DEB (METAL OBJ)	0.0099633	1526.03	1.00609	0.96582	1.00391	1.00439	1.00439
58	COURIER 1B	0.0164902	966.576	0.954436	0.891602	0.952148	0.952637	0.952637
59	THOR ABLESTAR R/B	0.0189109	924.483	0.956873	0.884277	0.952148	0.954102	0.954102
82	SCOUT X-1 R/B	0.117586	634.219	1.26071	0.773926	1.18066	1.24854	1.25684
85	SCOUT X-1 DEB	0.0390887	540.733	0.963843	0.821289	0.955078	0.960938	0.961426
107	EXPLORER 11	0.054605	470.658	1.00305	0.80127	0.98584	0.999023	0.999512
115	THOR ABLE DEB (YO)	0.0034232	594.705	0.870781	0.856934	0.868652	0.868652	0.868652
116	TRANSIT 4A	0.0075192	865.89	0.91446	0.887207	0.914063	0.914551	0.914551
117	SOLRAD 3/INJUN 1	0.0079915	869.12	0.915469	0.886719	0.915527	0.916016	0.916016
118	THOR ABLESTAR R/B	0.0082869	826.079	0.911448	0.881836	0.911621	0.912109	0.912109
119	THOR ABLESTAR DEB	0.0107602	734.866	0.905681	0.867676	0.905762	0.905762	0.905762
120	THOR ABLESTAR DEB	0.0123976	716.184	0.906028	0.864746	0.908203	0.908691	0.908691
121	THOR ABLESTAR DEB	0.0100598	820.058	0.911681	0.878906	0.915039	0.915527	0.915527
122	THOR ABLESTAR DEB	0.0079147	605.378	0.878662	0.85498	0.882324	0.882324	0.882324
