ID	Name	Eccentricity	Perigee	MaxError	Pre_0	Pre_1	Pre_2	Pre_3
11	VANGUARD 2	0.146831	555.108	0.0681743	0.0366211	0.0610352	0.0664063	0.0673828
12	VANGUARD R/B	0.166579	556.8	0.0731481	0.0361328	0.0644531	0.0717773	0.0727539
20	VANGUARD 3	0.166666	510.368	0.0725308	0.0356445	0.0644531	0.0708008	0.0722656
22	EXPLORER 7	0.0138763	485.124	0.0435456	0.0410156	0.043457	0.043457	0.043457
29	TIROS 1	0.0024335	630.936	0.0430668	0.0429688	0.043457	0.043457	0.043457
45	TRANSIT 2A	0.0248519	599.889	0.0458429	0.0415039	0.0454102	0.0454102	0.0454102
46	SOLRAD 1 (GREB)	0.0217544	571.49	0.0450432	0.0415039	0.0449219	0.0454102	0.0454102
47	THOR ABLESTAR R/B	0.0219961	593.023	0.0453872	0.0419922	0.0444336	0.0449219	0.0449219
50	DELTA 1 R/B	0.0113709	1502.46	0.0497554	0.046875	0.0493164	0.0493164	0.0493164
51	ECHO 1 DEB (METAL OBJ)	0.0105989	1516.56	0.0495876	0.0463867	0.0488281	0.0488281	0.0488281
53	ECHO 1 DEB (METAL OBJ)	0.0099633	1526.03	0.049685	0.0478516	0.0498047	0.0498047	0.0498047
58	COURIER 1B	0.0164902	966.576	0.0471341	0.0439453	0.0473633	0.0473633	0.0473633
59	THOR ABLESTAR R/B	0.0189109	924.483	0.0472542	0.043457	0.046875	0.046875	0.046875
82	SCOUT X-1 R/B	0.117586	634.219	0.0622604	0.0380859	0.0585938	0.0615234	0.0620117
85	SCOUT X-1 DEB	0.0390887	540.733	0.0475985	0.0405273	0.046875	0.046875	0.046875
107	EXPLORER 11	0.054605	470.658	0.0495348	0.0395508	0.0483398	0.0488281	0.0493164
115	THOR ABLE DEB (YO)	0.0034232	594.705	0.043003	0.0424805	0.043457	0.043457	0.043457
116	TRANSIT 4A	0.0075192	865.89	0.0451602	0.043457	0.0449219	0.0449219	0.0449219
117	SOLRAD 3/INJUN 1	0.0079915	869.12	0.0452096	0.043457	0.0454102	0.0454102	0.0454102
118	THOR ABLESTAR R/B	0.0082869	826.079	0.0450111	0.0439453	0.0454102	0.0454102	0.0454102
119	THOR ABLESTAR DEB	0.0107602	734.866	0.0447261	0.0429688	0.0449219	0.0449219	0.0449219
120	THOR ABLESTAR DEB	0.0123976	716.184	0.0447434	0.0424805	0.0449219	0.0449219	0.0449219
121	THOR ABLESTAR DEB	0.0100598	820.058	0.0450229	0.0429688	0.0444336	0.0444336	0.0444336
122	THOR ABLESTAR DEB	0.0079147	605.378	0.0433916	0.0419922	0.043457	0.043457	0.043457
123	THOR ABLESTAR DEB	0.0121416	679.561	0.0444916	0.0424805	0.0439453	0.0439453	0.0439453
124	THOR ABLESTAR DEB	0.0074931	734.386	0.0443478	0.0429688	0.0439453	0.0439453	0.0439453
125	THOR ABLESTAR DEB	0.0073225	819.835	0.0448574	0.0429688	0.0439453	0.0439453	0.0439453
126	THOR ABLESTAR DEB	0.0073301	716.428	0.0440879	0.0429688	0.0444336	0.0444336	0.0444336
127	THOR ABLESTAR DEB	0.007079	709.844	0.0441399	0.0429688	0.0444336	0.0444336	0.0444336
128	THOR ABLESTAR DEB	0.0095771	818.405	0.0451206	0.043457	0.0449219	0.0449219	0.0449219
130	THOR ABLESTAR DEB	0.0087561	832.885	0.0450948	0.043457	0.0449219	0.0449219	0.0449219
131	THOR ABLESTAR DEB	0.0086072	827.137	0.0449783	0.043457	0.0449219	0.0449219	0.0449219
132	THOR ABLESTAR DEB	0.0070551	860.451	0.0450713	0.0439453	0.0454102	0.0454102	0.0454102
133	THOR ABLESTAR DEB	0.0058545	787.172	0.0443394	0.043457	0.0449219	0.0449219	0.0449219
134	THOR ABLESTAR DEB	0.0076894	847.087	0.0450671	0.043457	0.0449219	0.0449219	0.0449219
136	THOR ABLESTAR DEB	0.0060193	734.425	0.0440853	0.0429688	0.0439453	0.0439453	0.0439453
138	THOR ABLESTAR DEB	0.0030928	863.433	0.0445368	0.043457	0.0439453	0.0439453	0.0439453
141	THOR ABLESTAR DEB	0.0059731	894.08	0.0450368	0.0444336	0.0454102	0.0454102	0.0454102
144	THOR ABLESTAR DEB	0.0037321	899.309	0.0448641	0.0439453	0.0444336	0.0444336	0.0444336
145	THOR ABLESTAR DEB	0.0070816	835.871	0.0447123	0.043457	0.0444336	0.0444336	0.0444336
147	THOR ABLESTAR DEB	0.0060477	782.838	0.0443793	0.0429688	0.0444336	0.0444336	0.0444336
148	THOR ABLESTAR DEB	0.0157722	757.888	0.0455258	0.0424805	0.0454102	0.0454102	0.0454102
150	THOR ABLESTAR DEB	0.007047	906.012	0.0451657	0.0439453	0.0449219	0.0449219	0.0449219
152	THOR ABLESTAR DEB	0.0147325	753.553	0.045436	0.0424805	0.0449219	0.0449219	0.0449219
154	THOR ABLESTAR DEB	0.0090759	810.707	0.0448531	0.0439453	0.0454102	0.0454102	0.0454102
155	THOR ABLESTAR DEB	0.0053518	720.362	0.0438344	0.0424805	0.043457	0.043457	0.043457
158	THOR ABLESTAR DEB	0.0614844	921.355	0.0537165	0.0415039	0.0532227	0.0532227	0.0532227
159	THOR ABLESTAR DEB	0.0367957	971.716	0.0501398	0.043457	0.050293	0.0507813	0.0507813
162	TIROS 3	0.0044707	714.282	0.0438655	0.0429688	0.0439453	0.0439453	0.0439453
