ID	Name	Eccentricity	Perigee	MaxError	Pre_0	Pre_1	Pre_2	Pre_3
11	VANGUARD 2	0.146831	555.108	5.52052	2.98291	4.99219	5.4165	5.48633
12	VANGUARD R/B	0.166579	556.8	5.92373	2.93408	5.21338	5.77002	5.875
20	VANGUARD 3	0.166666	510.368	5.87302	2.91406	5.17969	5.73242	5.83691
22	EXPLORER 7	0.0138763	485.124	3.52687	3.34033	3.52832	3.53125	3.53174
29	TIROS 1	0.0024335	630.936	3.48808	3.45117	3.48438	3.48486	3.48486
45	TRANSIT 2A	0.0248519	599.889	3.71282	3.35986	3.70215	3.7124	3.7124
46	SOLRAD 1 (GREB)	0.0217544	571.49	3.64813	3.35693	3.6543	3.66309	3.66309
47	THOR ABLESTAR R/B	0.0219961	593.023	3.67596	3.36621	3.66797	3.67676	3.67676
50	DELTA 1 R/B	0.0113709	1502.46	4.0298	3.84521	4.02197	4.0249	4.0249
51	ECHO 1 DEB (METAL OBJ)	0.0105989	1516.56	4.01623	3.85449	4.01953	4.02197	4.02197
53	ECHO 1 DEB (METAL OBJ)	0.0099633	1526.03	4.0241	3.8623	4.01709	4.01904	4.01904
58	COURIER 1B	0.0164902	966.576	3.81745	3.56592	3.8042	3.80957	3.80957
59	THOR ABLESTAR R/B	0.0189109	924.483	3.82723	3.53662	3.80859	3.81543	3.81543
82	SCOUT X-1 R/B	0.117586	634.219	5.04192	3.09619	4.72363	4.9917	5.02686
85	SCOUT X-1 DEB	0.0390887	540.733	3.85507	3.28564	3.81982	3.8457	3.84717
107	EXPLORER 11	0.054605	470.658	4.01184	3.20508	3.94287	3.99609	3.99951
115	THOR ABLE DEB (YO)	0.0034232	594.705	3.4829	3.4292	3.47607	3.47656	3.47656
116	TRANSIT 4A	0.0075192	865.89	3.65761	3.54785	3.65576	3.65723	3.65723
117	SOLRAD 3/INJUN 1	0.0079915	869.12	3.66161	3.54736	3.66211	3.66309	3.66309
118	THOR ABLESTAR R/B	0.0082869	826.079	3.64556	3.52588	3.64307	3.64453	3.64453
119	THOR ABLESTAR DEB	0.0107602	734.866	3.62246	3.47314	3.62354	3.62549	3.62598
120	THOR ABLESTAR DEB	0.0123976	716.184	3.62386	3.45801	3.63135	3.63428	3.63428
121	THOR ABLESTAR DEB	0.0100598	820.058	3.64649	3.5166	3.65918	3.66064	3.66064
122	THOR ABLESTAR DEB	0.0079147	605.378	3.51441	3.41943	3.52881	3.5293	3.5293
123	THOR ABLESTAR DEB	0.0121416	679.561	3.60344	3.44092	3.60889	3.6123	3.6123
124	THOR ABLESTAR DEB	0.0074931	734.386	3.59181	3.48389	3.58838	3.58984	3.58984
125	THOR ABLESTAR DEB	0.0073225	819.835	3.63312	3.52539	3.62939	3.63037	3.63037
126	THOR ABLESTAR DEB	0.0073301	716.428	3.57075	3.47559	3.57764	3.57861	3.57861
127	THOR ABLESTAR DEB	0.007079	709.844	3.57497	3.47314	3.57178	3.57275	3.57275
128	THOR ABLESTAR DEB	0.0095771	818.405	3.65439	3.51758	3.65332	3.65527	3.65527
130	THOR ABLESTAR DEB	0.0087561	832.885	3.65234	3.52734	3.65186	3.65283	3.65283
131	THOR ABLESTAR DEB	0.0086072	827.137	3.6429	3.52539	3.64746	3.64893	3.64893
132	THOR ABLESTAR DEB	0.0070551	860.451	3.65042	3.54688	3.64746	3.64844	3.64844
133	THOR ABLESTAR DEB	0.0058545	787.172	3.59115	3.51514	3.59717	3.59814	3.59814
134	THOR ABLESTAR DEB	0.0076894	847.087	3.6501	3.53857	3.64795	3.64893	3.64893
136	THOR ABLESTAR DEB	0.0060193	734.425	3.57057	3.48926	3.57324	3.57422	3.57422
138	THOR ABLESTAR DEB	0.0030928	863.433	3.60715	3.56152	3.60596	3.60645	3.60645
141	THOR ABLESTAR DEB	0.0059731	894.08	3.64763	3.56689	3.65283	3.65381	3.65381
144	THOR ABLESTAR DEB	0.0037321	899.309	3.63363	3.57813	3.63086	3.63086	3.63086
145	THOR ABLESTAR DEB	0.0070816	835.871	3.62137	3.53516	3.63623	3.63721	3.63721
