ID	Name	Eccentricity	Perigee	MaxError	Pre_0	Pre_1	Pre_2	Pre_3
1951	THOR AGENA B DEB	0.0878214	479.351	0.0695251	0.0488281	0.0673828	0.0698242	0.0698242
1952	OPS 1593 (TRANSIT 11)	0.0218081	845.461	0.0593601	0.0541992	0.059082	0.059082	0.059082
1953	SCOUT A R/B	0.0230248	846.014	0.0596669	0.0546875	0.059082	0.059082	0.059082
1959	TITAN 3C TRANSTAGE DEB	0.0065439	663.582	0.0554772	0.0541992	0.0556641	0.0556641	0.0556641
1961	TITAN 3C TRANSTAGE DEB	0.0005731	587.16	0.0539651	0.0532227	0.0537109	0.0537109	0.0537109
1964	TITAN 3C TRANSTAGE DEB	0.0195001	687.596	0.0578499	0.0532227	0.0581055	0.0581055	0.0581055
1982	ESSA 1 (OT-3)	0.0080423	675.524	0.0555175	0.0537109	0.0556641	0.0556641	0.0556641
1983	DELTA 1 R/B	0.0072559	633.162	0.0552567	0.0527344	0.0546875	0.0546875	0.0546875
2011	SCOUT X-4 DEB	0.0190161	978.024	0.0602159	0.0551758	0.0595703	0.0600586	0.0600586
2016	DIAPASON (D1-A)	0.118619	500.479	0.0776464	0.046875	0.0722656	0.0761719	0.0771484
2017	DIAMANT R/B	0.107872	499.274	0.0748691	0.0473633	0.0703125	0.0742188	0.074707
2050	TITAN 3C TRANSTAGE DEB	0.0090373	675.682	0.0560477	0.0537109	0.0556641	0.0556641	0.0556641
2088	SCOUT X-4 DEB	0.0097181	641.495	0.0557566	0.0537109	0.0556641	0.0561523	0.0561523
2091	ESSA 2 (OT-2)	0.0038639	1351.95	0.0602984	0.059082	0.0600586	0.0600586	0.0600586
2092	THOR AGENA B DEB	0.132207	501.582	0.0811689	0.0458984	0.074707	0.0800781	0.0810547
2096	DELTA 1 R/B	0.003994	1348.92	0.0602878	0.059082	0.0600586	0.0600586	0.0600586
2097	TRANSIT 5B-1 DEB	0.0041729	989.145	0.0574576	0.0571289	0.0585938	0.0585938	0.0585938
2118	DELTA 1 DEB	0.0132686	651.017	0.0562772	0.0537109	0.0566406	0.0566406	0.0566406
2119	OPS 1117 (TRANSIT 12)	0.0148466	870.891	0.058423	0.0546875	0.0581055	0.0581055	0.0581055
2120	SCOUT A R/B	0.0151098	877.779	0.058491	0.0546875	0.0581055	0.0581055	0.0581055
2121	OV1-4	0.0083184	881.467	0.0575504	0.0551758	0.0576172	0.0576172	0.0576172
2122	OV1-5	0.0047496	982.284	0.0577063	0.0561523	0.0576172	0.0576172	0.0576172
2123	OV1-5 R/B	0.0046779	983.679	0.0577049	0.0566406	0.0581055	0.0581055	0.0581055
2124	OV1-4 R/B	0.0080354	881.972	0.0575026	0.0551758	0.0576172	0.0576172	0.0576172
2125	OPS 0340	0.0156734	589.726	0.0562762	0.0532227	0.0566406	0.0566406	0.0566406
2140	SCOUT A DEB	0.0318205	842.175	0.0611036	0.0541992	0.0605469	0.0610352	0.0610352
2141	SCOUT A DEB	0.0126465	790.81	0.0574145	0.0541992	0.0571289	0.0571289	0.0571289
2142	OAO 1	0.0006468	777.22	0.0554331	0.0556641	0.0561523	0.0561523	0.0561523
2144	ATLAS AGENA D R/B	0.0008916	746.055	0.0551242	0.0541992	0.0546875	0.0546875	0.0546875
2150	OPS 1527 (OV3-1)	0.161897	331.575	0.0878227	0.0449219	0.078125	0.0864258	0.0878906
2153	THOR AGENA B DEB	0.130479	498.18	0.0806876	0.0463867	0.074707	0.0795898	0.0800781
2154	DELTA 1 DEB	0.0050931	638.293	0.0547305	0.0537109	0.0551758	0.0551758	0.0551758
2173	NIMBUS 2	0.0055988	1088.64	0.0584976	0.0571289	0.0581055	0.0581055	0.0581055
2174	THOR AGENA B R/B	0.0055647	1079.42	0.0582368	0.0576172	0.059082	0.059082	0.059082
2176	OPS 0082 (TRANSIT 13)	0.0076583	824.725	0.056826	0.0546875	0.0566406	0.0566406	0.0566406
2177	THOR ALTAIR DEB	0.0164607	558.825	0.0562215	0.0522461	0.0561523	0.0561523	0.0561523
2180	SCOUT A R/B	0.0077397	833.995	0.0567741	0.0556641	0.0571289	0.0571289	0.0571289
2223	DELTA 1 DEB	0.0092924	1236.79	0.0602966	0.0581055	0.0605469	0.0605469	0.0605469
2224	DELTA 1 DEB	0.0138023	1345.18	0.062072	0.0585938	0.0620117	0.0620117	0.0620117
